cpc4,isic_rev4_2,probability_weight
"A01B","01",.257167
"A01B","28",.742833
"A01C","01",1
"A01D","01",.0546278
"A01D","10",.062452
"A01D","28",.8829201
"A01F","01",.1588159
"A01F","28",.8411841
"A01G","01",.1488374
"A01G","02",.0381959
"A01G","10",.0410212
"A01G","16",.0324298
"A01G","20",.0209104
"A01G","28",.0539943
"A01G","36",.664611
"A01H","01",.3436051
"A01H","10",.6563949
"A01J","10",.9704168
"A01J","28",.0295832
"A01K","01",.0291032
"A01K","03",.4766218
"A01K","10",.067569
"A01K","15",.0429513
"A01K","28",.0355994
"A01K","32",.0335643
"A01K","36",.3145911
"A01L","15",.7527539
"A01L","16",.0664667
"A01L","20",.1534433
"A01L","32",.0273362
"A01M","01",.877165
"A01M","20",.0938662
"A01M","36",.0289688
"A01N","01",.2388009
"A01N","10",.1954514
"A01N","20",.4914103
"A01N","36",.0743374
"A21B","10",.8485129
"A21B","28",.0378087
"A21B","35",.1078344
"A21B","98",.0058439
"A21C","10",.9758587
"A21C","28",.0241412
"A21D","10",1
"A22B","10",.8484864
"A22B","28",.1515136
"A22C","10",.9684388
"A22C","28",.0315612
"A23B","01",.0351422
"A23B","10",.9238839
"A23B","36",.040974
"A23C","10",1
"A23D","01",.062695
"A23D","10",.937305
"A23F","01",.4385559
"A23F","10",.4439277
"A23F","35",.0319689
"A23F","36",.0855476
"A23G","10",1
"A23J","01",.0386061
"A23J","10",.9228699
"A23J","36",.0385239
"A23K","01",.0208804
"A23K","10",.9531888
"A23K","36",.0259309
"A23L","01",.0516392
"A23L","10",.9266317
"A23L","36",.0217291
"A23N","01",.0367309
"A23N","10",.5645189
"A23N","28",.0374612
"A23N","36",.0207851
"A23N","47",.311632
"A23N","56",.0288718
"A23P","10",.9609369
"A23P","28",.0390631
"A23V","01",.2170001
"A23V","10",.783
"A23Y","10",1
"A24B","12",1
"A24C","12",.6701694
"A24C","17",.1934259
"A24C","28",.1364047
"A24D","12",.284361
"A24D","17",.6900506
"A24D","20",.0255884
"A24F","12",1
"A41B","13",.3533734
"A41B","14",.6466266
"A41C","13",.9357347
"A41C","14",.0423345
"A41C","20",.0219308
"A41D","13",.3840735
"A41D","14",.6159265
"A41F","13",.5799029
"A41F","14",.3277356
"A41F","22",.0351749
"A41F","32",.0571866
"A41G","13",.407779
"A41G","20",.486665
"A41G","22",.0801767
"A41G","96",.0253792
"A41H","13",.832738
"A41H","14",.1099934
"A41H","32",.0572686
"A42B","13",.2360988
"A42B","14",.5752785
"A42B","15",.0220616
"A42B","22",.0237911
"A42B","32",.1427699
"A42C","13",.8633811
"A42C","14",.1000927
"A42C","22",.0365262
"A43B","15",1
"A43C","15",1
"A43D","15",1
"A44B","13",.3300585
"A44B","15",.0307603
"A44B","22",.0952381
"A44B","32",.5439432
"A44C","15",.0583424
"A44C","23",.0313354
"A44C","24",.0332434
"A44C","25",.0462824
"A44C","32",.8307964
"A44D","13",.4364218
"A44D","15",.0555407
"A44D","24",.0841896
"A44D","25",.046794
"A44D","32",.3770539
"A45B","32",1
"A45C","13",.0341257
"A45C","15",.9086192
"A45C","22",.0346697
"A45C","32",.0225853
"A45D","22",.0361377
"A45D","32",.2206552
"A45D","96",.7432072
"A45F","13",.118271
"A45F","15",.7458097
"A45F","22",.1042145
"A45F","32",.0317048
"A46B","32",1
"A46D","32",1
"A47B","31",1
"A47C","31",1
"A47D","13",.0402048
"A47D","15",.049078
"A47D","31",.9107172
"A47F","31",1
"A47G","10",.0388528
"A47G","11",.0714971
"A47G","13",.4745717
"A47G","14",.0237667
"A47G","17",.0272182
"A47G","22",.0505278
"A47G","25",.0882535
"A47G","31",.2079618
"A47G","97",.0173504
"A47H","13",.9234401
"A47H","22",.0521053
"A47H","90",.0244546
"A47J","10",.4600525
"A47J","27",.1917114
"A47J","28",.0513715
"A47J","36",.259045
"A47J","56",.0378197
"A47K","17",.8382509
"A47K","31",.0641267
"A47K","36",.0653912
"A47K","55",.0322312
"A47L","13",.0671623
"A47L","27",.6808704
"A47L","32",.13392
"A47L","36",.078676
"A47L","81",.0393713
"A61B","32",.0868725
"A61B","86",.9131275
"A61C","32",1
"A61D","10",.110269
"A61D","13",.0641567
"A61D","15",.1645113
"A61D","20",.0402906
"A61D","21",.313533
"A61D","22",.1517969
"A61D","28",.0744065
"A61D","32",.0386983
"A61D","36",.0423377
"A61F","13",.3235917
"A61F","20",.2428713
"A61F","21",.065802
"A61F","22",.048546
"A61F","23",.0575228
"A61F","36",.022812
"A61F","86",.238854
"A61G","31",.9074885
"A61G","32",.0349696
"A61G","86",.0575419
"A61H","31",.050936
"A61H","36",.0460594
"A61H","86",.0348341
"A61H","96",.8681706
"A61J","21",.9147023
"A61J","22",.0852977
"A61K","10",.0241135
"A61K","20",.0577306
"A61K","21",.9181559
"A61L","20",.6875935
"A61L","21",.1227867
"A61L","23",.0283529
"A61L","32",.0403034
"A61L","36",.0974502
"A61L","43",.0235133
"A61M","20",.0324233
"A61M","21",.746383
"A61M","22",.043497
"A61M","28",.0864791
"A61M","32",.0255267
"A61M","86",.0656909
"A61N","01",.0268585
"A61N","20",.0635468
"A61N","21",.2886802
"A61N","27",.2605886
"A61N","86",.2846418
"A61N","96",.0756839
"A61Q","10",.1214866
"A61Q","20",.6525314
"A61Q","21",.1233331
"A61Q","32",.0206288
"A61Q","36",.08202
"A62B","15",1
"A62C","13",.0255053
"A62C","20",.0663698
"A62C","23",.0212533
"A62C","28",.1644147
"A62C","30",.07474
"A62C","36",.5769663
"A62C","88",.0707507
"A62D","20",.6983728
"A62D","23",.0208889
"A62D","25",.0347316
"A62D","36",.2460067
"A63B","32",.076921
"A63B","93",.923079
"A63C","15",.1041032
"A63C","32",.8958967
"A63D","13",.0719639
"A63D","16",.1237455
"A63D","22",.092494
"A63D","23",.1054654
"A63D","26",.042091
"A63D","28",.1779578
"A63D","31",.0237394
"A63D","32",.1880789
"A63D","33",.0914314
"A63D","92",.0830326
"A63F","26",.0217933
"A63F","32",.4240557
"A63F","92",.554151
"A63G","30",.0315842
"A63G","32",.0737377
"A63G","55",.3812531
"A63G","93",.513425
"A63H","30",.0300403
"A63H","32",.9699597
"A63J","90",.984198
"A63J","91",.015802
"A63K","13",.0520524
"A63K","15",.1642098
"A63K","16",.1125708
"A63K","22",.4603306
"A63K","23",.0225491
"A63K","30",.0378115
"A63K","93",.1504758
"B01B","33",.2669217
"B01B","35",.60133
"B01B","36",.1317483
"B01D","10",.0279091
"B01D","13",.0223
"B01D","20",.2768344
"B01D","23",.0327794
"B01D","28",.0333455
"B01D","35",.0623601
"B01D","36",.5444716
"B01F","10",.0894698
"B01F","11",.0329316
"B01F","20",.2480747
"B01F","23",.084194
"B01F","28",.0728087
"B01F","36",.4725211
"B01J","19",.2134904
"B01J","20",.5843578
"B01J","25",.0527268
"B01J","35",.0411424
"B01J","36",.1082825
"B01L","20",.4123404
"B01L","22",.1985902
"B01L","23",.1199663
"B01L","28",.2401417
"B01L","36",.0289614
"B02B","01",.1206365
"B02B","10",.8793634
"B02C","10",.2363457
"B02C","16",.0753697
"B02C","25",.2696992
"B02C","28",.4185854
"B03B","05",.5094733
"B03B","07",.0311693
"B03B","23",.0538492
"B03B","28",.040688
"B03B","36",.3648201
"B03C","05",.0513879
"B03C","20",.1127663
"B03C","23",.1350582
"B03C","25",.0842331
"B03C","27",.0878427
"B03C","28",.161857
"B03C","35",.0227315
"B03C","36",.3441232
"B03D","05",.5566103
"B03D","20",.1925709
"B03D","36",.2508188
"B04B","10",.0313365
"B04B","28",.9686635
"B04C","19",.0274557
"B04C","20",.0354948
"B04C","23",.0762739
"B04C","28",.1139433
"B04C","32",.0236399
"B04C","35",.1084788
"B04C","36",.6147134
"B05B","20",.2428191
"B05B","22",.0224326
"B05B","28",.2480118
"B05B","32",.0260577
"B05B","36",.4606789
