country,industry,year,VALU,GFCF,pair_id,AIPI,AIPI_bartik,broadband,gdppc_raw,renew,rd,trade,ln_gdppc,HighRenewable,co2_kt,ln_co2int,capform,AIPI_x_HR
AUS,C,2010,103164,19345,AUS_C,2.4150268599557463,3.5394498238104437,24.8853051640712,53768.34973344104,8.2,2.3702,40.39050708606058,10.89244027811907,0,52657.04793077331,6.235235417455202,0.18751696328176495,0
AUS,C,2011,104030,21023,AUS_C,2.3931065690710698,3.720130645851296,24.697756094089,54296.23213248142,8.3,2.23459,41.721986014968905,10.902210113689053,0,55253.03834900556,6.274999291527332,0.2020859367490147,0
AUS,C,2012,99952,16701,AUS_C,1.4268646967648198,3.900311806372362,25.0955644344698,55465.44628725772,8.3,2.20596,43.019849552755815,10.923515516426473,0,56186.69681296043,6.3317452255968165,0.16709020329758284,0
AUS,C,2013,100186,16067,AUS_C,2.1706368530154605,4.060974709418661,25.7399315811014,55966.15092705607,9.2,2.17733,41.10051188105599,10.932502339233968,0,55832.89782190112,6.323090083013915,0.16037170862196315,0
AUS,C,2014,100487,14762,AUS_C,2.7927329282181987,4.20431184677422,27.7000785019208,56571.80625244372,9.3,2.04851,42.2993095385282,10.94326601733858,0,55541.28165645546,6.314853470973644,0.1469045747211082,0
AUS,C,2015,98806,14393,AUS_C,2.8471963763336245,4.4039704191286555,28.5117731324726,56970.36130280944,9.4,1.91969,41.49475069399008,10.950286434437997,0,52363.249216320095,6.272801941759149,0.14566929133858267,0
AUS,C,2016,99477,15232,AUS_C,2.6112660093301603,4.773063114269819,30.3083074972206,57632.99959255945,9.6,1.9003549999999998,40.81340221732101,10.961850592226982,0,53690.33615563578,6.291061842779394,0.1531208218985293,0
AUS,C,2017,103175,16647,AUS_C,3.369191002234994,5.08330630964633,32.0326223266488,57991.77134733296,9.9,1.88102,42.0354135251854,10.96805640614174,0,53580.79864965278,6.252519473090798,0.1613472255875939,0
AUS,C,2018,106591,16662,AUS_C,3.6866697084339273,5.413806557894605,33.5486251312018,58772.7063152213,9.8,1.8546399999999998,43.57322536452184,10.981432847810053,0,55481.795852823554,6.254811162877897,0.15631713746939235,0
AUS,C,2019,109491,17153,AUS_C,3.88925191856284,5.563725127702927,34.5434163723691,59181.29979041315,10.3,1.82826,46.00168270521715,10.988360889052197,0,55604.052679079636,6.230169013396034,0.15666127809591657,0
AUS,C,2020,113547,18413,AUS_C,3.8909125851079516,5.60914027249818,35.346849265518,58377.767051780225,11.2,1.843045,44.499564103879024,10.974690395163085,0,55196.59402523169,6.186439679796767,0.16216192413714145,0
AUS,C,2021,123593,19903,AUS_C,3.805349304507102,5.604802495145761,35.8359861455454,59465.53567136402,12.3,1.85783,40.20223593905949,10.99315219129977,0,54634.610684198415,6.091428947105614,0.16103662828800983,0
AUS,C,2022,135792,24233,AUS_C,3.361529469356704,5.418426759145574,36.3933201898066,61200.45889647808,12.3,1.85783,45.69464188057522,11.02190996678077,0,55598.154717231686,6.014780987921602,0.1784567573936609,0
AUS,D_E,2010,36631,27473,AUS_D_E,0.269389527683458,0.7005226129183311,24.8853051640712,53768.34973344104,8.2,2.3702,40.39050708606058,10.89244027811907,0,243817.80371461602,8.803281642818467,0.7499931751794928,0
AUS,D_E,2011,41333,25600,AUS_D_E,0.26375093826181295,0.798307938406943,24.697756094089,54296.23213248142,8.3,2.23459,41.721986014968905,10.902210113689053,0,236160.99311426602,8.650607813257395,0.6193598335470447,0
AUS,D_E,2012,46424,24881,AUS_D_E,0.09170761829899818,0.9038089180752815,25.0955644344698,55465.44628725772,8.3,2.20596,43.019849552755815,10.923515516426473,0,233148.477548035,8.521614205402049,0.5359512321213166,0
AUS,D_E,2013,45864,23138,AUS_D_E,0.21151968234727436,1.004413717848372,25.7399315811014,55966.15092705607,9.2,2.17733,41.10051188105599,10.932502339233968,0,223736.544519678,8.492544002497862,0.5044915402058259,0
AUS,D_E,2014,44694,20138,AUS_D_E,0.3818383981811931,1.0991637248849273,27.7000785019208,56571.80625244372,9.3,2.04851,42.2993095385282,10.94326601733858,0,213350.304541158,8.470851451618094,0.4505750212556495,0
AUS,D_E,2015,44187,20516,AUS_D_E,0.4005865828372758,1.2385761622934714,28.5117731324726,56970.36130280944,9.4,1.91969,41.49475069399008,10.950286434437997,0,220834.132645616,8.516736539519655,0.46429945459071675,0
AUS,D_E,2016,47550,19900,AUS_D_E,0.32409286418482103,1.5169465061584293,30.3083074972206,57632.99959255945,9.6,1.9003549999999998,40.81340221732101,10.961850592226982,0,226850.866382546,8.470266315280307,0.4185068349106204,0
AUS,D_E,2017,50581,26616,AUS_D_E,0.6158255632204889,1.7687759865224821,32.0326223266488,57991.77134733296,9.9,1.88102,42.0354135251854,10.96805640614174,0,226603.418129449,8.40738070017501,0.5262054921808584,0
AUS,D_E,2018,52072,30118,AUS_D_E,0.7795883815158716,2.051618103830691,33.5486251312018,58772.7063152213,9.8,1.8546399999999998,43.57322536452184,10.981432847810053,0,220242.62888097798,8.349857699912587,0.5783914579812567,0
AUS,D_E,2019,50955,32468,AUS_D_E,0.8971072404782732,2.184033531841242,34.5434163723691,59181.29979041315,10.3,1.82826,46.00168270521715,10.988360889052197,0,219014.025784357,8.365948161144637,0.637189677166127,0
AUS,D_E,2020,50283,33772,AUS_D_E,0.8981116481207498,2.2245897900161657,35.346849265518,58377.767051780225,11.2,1.843045,44.499564103879024,10.974690395163085,0,211070.31558904098,8.34227955836694,0.6716385259431618,0
AUS,D_E,2021,48840,34366,AUS_D_E,0.8472238812493609,2.2207076329796482,35.8359861455454,59465.53567136402,12.3,1.85783,40.20223593905949,10.99315219129977,0,201149.98243562,8.323256440815616,0.7036445536445537,0
AUS,D_E,2022,52261,41679,AUS_D_E,0.6121845019503247,2.0556636649836557,36.3933201898066,61200.45889647808,12.3,1.85783,45.69464188057522,11.02190996678077,0,194906.00597445,8.224022305689587,0.7975163123552936,0
AUS,H,2010,66027,30170,AUS_H,7.637921634538319e-4,0.002504894666803314,24.8853051640712,53768.34973344104,8.2,2.3702,40.39050708606058,10.89244027811907,0,87630.30580088843,7.190818424445788,0.45693428445938783,0
AUS,H,2011,72167,35046,AUS_H,7.456134137340226e-4,0.0030150068889167954,24.697756094089,54296.23213248142,8.3,2.23459,41.721986014968905,10.902210113689053,0,89768.23498923259,7.126003583379288,0.4856236229855751,0
AUS,H,2012,75575,33006,AUS_H,2.373399550217968e-4,0.0036239503512605843,25.0955644344698,55465.44628725772,8.3,2.20596,43.019849552755815,10.923515516426473,0,90425.27771088378,7.087153587323782,0.436731723453523,0
AUS,H,2013,75870,32939,AUS_H,5.819897935310252e-4,0.004267236655958492,25.7399315811014,55966.15092705607,9.2,2.17733,41.10051188105599,10.932502339233968,0,91828.255378307,7.09865397269213,0.43415052062738896,0
AUS,H,2014,78661,32721,AUS_H,0.0011485006157934562,0.004934781237429391,27.7000785019208,56571.80625244372,9.3,2.04851,42.2993095385282,10.94326601733858,0,91979.74050152863,7.064176139976432,0.415974879546408,0
AUS,H,2015,80497,31887,AUS_H,0.001216939686630407,0.006038490888094405,28.5117731324726,56970.36130280944,9.4,1.91969,41.49475069399008,10.950286434437997,0,94153.07643967289,7.0644572928412845,0.39612656372287164,0
AUS,H,2016,83479,34480,AUS_H,9.455614872826962e-4,0.008755659180390353,30.3083074972206,57632.99959255945,9.6,1.9003549999999998,40.81340221732101,10.961850592226982,0,95407.0553464439,7.041312706895123,0.4130380095592904,0
AUS,H,2017,85796,40061,AUS_H,0.0021014444548544,0.011948621613106331,32.0326223266488,57991.77134733296,9.9,1.88102,42.0354135251854,10.96805640614174,0,96854.09396568681,7.028988553780849,0.4669331903585249,0
AUS,H,2018,89595,42996,AUS_H,0.002913475312558787,0.016618717797822317,33.5486251312018,58772.7063152213,9.8,1.8546399999999998,43.57322536452184,10.981432847810053,0,99224.5200547074,7.009840925847985,0.4798928511635694,0
