industry,share_w,beta_industry
A,0,NA
B,0.019175448310526227,0.05726908667153005
C,0.777871408079957,-0.013964911562910035
D_E,0.023600484633934993,-0.012365751695377654
F,0,NA
GTI,0.01624640591291146,-0.03927515354060572
J,0.09461029913990637,-0.03903974000756581
K,0.008263018106699837,0.004310496107499819
LTN,0.021386669502545433,0.046571819750832355
OTU,0.03884626631351879,-0.0010537172565303666
