Year,Country,CountryCode,Variable,VariableCode,UnconsolidatedVariableCode,UnconsolidatedVariableName,ActivityCode,Activity,ActivityCombination,Value,UnitType,ValueUSD,Metadata
2012,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,4043.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,4076.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3751.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3713.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3377.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3510.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,3118.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2650.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2558.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2543.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2438.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,05,Mining of coal and lignite,05A,2470.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,5461.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6279.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7057.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7546.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7455.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7461.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7993.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,8162.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,7037.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6198.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6509.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,07,Mining of metal ores,07B,6569.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,10,Food products,10,5405.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,10,Food products,10,6105.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,10,Food products,10,6459.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,10,Food products,10,7033.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,10,Food products,10,7197.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,10,Food products,10,9244.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,10,Food products,10,12265.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,10,Food products,10,13228.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,10,Food products,10,14293.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,10,Food products,10,14961.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,10,Food products,10,15053.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,10,Food products,10,14083.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,10,Food products,10,15161.37,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,10,Food products,10,14901.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,1971.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,1803.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,1835.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,1895.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2047.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2043.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2317.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2079.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2080.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2312.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2296.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2391.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2461.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,11,Beverages,11A,2468.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,302.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,235.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,306.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,376.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,889.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,981.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,991.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,1449.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,1943.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,2274.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,2529.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,2555.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,2931.29,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,13,Textiles,13,3280.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,13803.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,13937.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,14782.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,15498.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,17595.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,19550.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,23083.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,26203.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,27169.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,28537.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,24845.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,24107.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,24542.99,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,14,Wearing apparel,14,24643.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,10254.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,12353.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,12032.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,13910.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,16509.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,19203.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,21661.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,23206.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,25509.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,25154.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,20636.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,19545.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,20621.01,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,15,Leather and related products,15,20024.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,948.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1136.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1052.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1031.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1160.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1167.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1240.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1568.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1756.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1753.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1489.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1513.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1710.79,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,16,"Wood products, excluding furniture",16,1716.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,1403.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,1678.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,1559.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,1566.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2145.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2526.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2526.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2272.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2447.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2733.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2582.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,2751.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,3545.93,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,17,Paper and paper products,17,3185.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1552.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1154.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1260.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1112.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1216.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1198.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1419.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1376.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1462.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1747.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1593.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1525.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1620.71,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,18,Printing and reproduction of recorded media,18,1421.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,1511.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,1523.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,1518.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,2038.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,1495.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,1365.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,1258.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,103.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,107.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,121.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,106.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,113.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,108.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,19,Coke and refined petroleum products,19,119.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,833.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,918.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,956.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1042.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1142.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1137.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1055.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1008.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1028.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1106.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1144.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1240.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1157.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,20,Chemicals and chemical products,20A,1217.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1172.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1695.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1318.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1405.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1038.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,989.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1367.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1589.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1655.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1665.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1656.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1823.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1534.73,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,22,Rubber and plastics products,22,1497.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,4767.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,4521.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,4245.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,4145.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,4390.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,4186.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5171.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5782.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5573.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5488.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5533.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5521.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5566.21,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,23,Other non-metallic mineral products,23,5289.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1992.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1073.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,891.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1300.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1362.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1150.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1119.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1083.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1049.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1237.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1222.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1365.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1416.71,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,24,Basic metals,24,1352.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,3160.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,2508.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,3580.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,3786.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,4178.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,4124.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5171.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5042.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5587.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5348.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5373.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5572.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5779.56,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,25,"Fabricated metal products, except machinery",25,5816.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,637.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,562.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,540.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,517.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,525.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,376.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,643.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,835.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,1181.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,1500.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,1574.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,2169.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,2949.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,26,"Computer, electronic and optical products",26A,3291.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,212.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,166.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,92.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,103.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,229.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,382.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,527.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,395.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,385.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,583.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,1289.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,2066.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,2672.0,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,28,Machinery and equipment n.e.c.,28B,3031.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,1978.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,1985.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,1779.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,2014.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,2339.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,2924.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,3218.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,3775.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,4240.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,4334.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,4153.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,4193.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,4451.81,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,31,Furniture,31,4108.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,469.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,424.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,779.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,837.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,835.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,1000.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,995.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,953.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,861.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,862.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,790.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,820.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,858.87,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,32,Other manufacturing,32,937.0,N,NA,
2010,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,656.0,N,NA,
2011,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,675.0,N,NA,
2012,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,606.0,N,NA,
2013,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,70.0,N,NA,
2014,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,54.0,N,NA,
2015,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,411.0,N,NA,
2016,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,414.0,N,NA,
2017,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,616.0,N,NA,
2018,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,546.0,N,NA,
2019,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,606.0,N,NA,
2020,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,579.0,N,NA,
2021,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,669.0,N,NA,
2022,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,680.99,N,NA,
2023,Albania,008,Employees,04,04,Number of employees,33,Repair and installation of machinery/equipment,33,664.0,N,NA,
