Country Name,Country Code,Series Name,Series Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022]
Antigua and Barbuda,ATG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.5759582,0.5770316,0.5653036,0.5635653,0.3820965,0.2063206,0.2076412,0.218442,0.484595,0.5787682,0.576116,0.5644068,0.4644715
Argentina,ARG,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.3672971,-0.3396354,-0.5168142,-0.517294,-0.6660539,-0.645135999999999,-0.2193628,-0.178141599999999,-0.0057354,-0.0847054,-0.1344697,-0.3273298,-0.3402325
Argentina,ARG,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.00723629999999999,0.0717304,0.0013935,-0.0162574999999999,0.1781782,0.1187015,0.3427634,0.2956525,0.257748,0.2629574,0.148927,0.1125651,0.1085858
Argentina,ARG,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.0975562,0.1203533,0.0804879,0.0324742,-0.0132091,-0.0308863,0.1932708,0.2394066,0.1204378,0.0571577,0.0552501,0.0921998,0.0576438
Argentina,ARG,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.5170484,-0.4685103,-0.5151067,-0.5758327,-0.7299737,-0.467320499999999,-0.2365898,-0.172504599999999,-0.2022099,-0.338125599999999,-0.290549699999999,-0.303899,-0.2913485
Argentina,ARG,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,0.4439987,0.3421553,0.3112012,0.2479511,0.3052787,0.3678175,0.4495506,0.5819915,0.6297742,0.5979723,0.5903064,0.5235454,0.4969087
Argentina,ARG,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,-0.7577834,-0.7069559,-0.841032599999999,-0.835456,-1.012746,-0.7973254,-0.2527044,-0.1203619,-0.190133499999999,-0.449108299999999,-0.5471843,-0.584024299999999,-0.5792423
Armenia,ARM,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-0.671372099999999,-0.677393,-0.6183619,-0.5341199,-0.6390245,-0.6231951,-0.580676299999999,-0.5641041,-0.1642391,-0.0523489,0.1056079,0.0558398,0.0574942
Armenia,ARM,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.1432718,-0.0113660999999999,0.0313392,0.0697532,-0.132629399999999,-0.1424065,-0.1056077,-0.010591,-0.173061599999999,-0.2531827,-0.3375702,-0.3553578,-0.3306901
Armenia,ARM,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.0171223,-0.142543,0.0562514,-0.0281785,-0.2358315,-0.139264399999999,-0.3896011,-0.3015882,-0.00389009999999999,0.0683699,-0.2935835,-0.5019,-0.3556235
Armenia,ARM,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.4412636,-0.3869668,-0.357317599999999,-0.3019861,-0.414507299999999,-0.396324299999999,-0.3080558,-0.3193061,-0.218660599999999,-0.247987899999999,-0.0751786,-0.1028405,-0.2386468
Armenia,ARM,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,-0.727251299999999,-0.5426552,-0.4296658,-0.4439759,-0.3735727,-0.3535547,-0.3894293,-0.3415409,0.2320021,0.2006866,0.2108734,0.1047104,0.0567692
Armenia,ARM,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,0.3844424,0.3710118,0.4081354,0.3441588,0.1234003,0.2129025,0.2424884,0.2658499,0.2852478,0.2583707,0.2080999,0.1972098,0.0783259999999999
Aruba,ABW,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.0319006,1.0309026,1.0288289,1.0289865,0.8949794,1.1609441,1.1622716,1.1613218,1.1629372,1.1651628,1.165722,0.8692192,0.8688452
Aruba,ABW,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.0023954,1.0015699,1.0017778,1.00201,0.6967705,0.6950388,0.6956408,0.6958363,0.9066629,0.9077089,0.9047216,0.9064944,1.0084741
Aruba,ABW,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2560673,1.251139,1.3159088,1.3143193,1.2105482,1.209329,1.2062931,1.2066651,1.3341522,1.3349374,1.3345061,1.3328137,1.3357267
Aruba,ABW,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.4158901,1.3475874,1.3458678,1.3420243,1.0095673,1.2928771,1.2931593,1.2924687,1.2931496,1.2930625,1.2938144,1.2183341,1.2205245
Aruba,ABW,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,1.3885304,1.3908076,1.3889093,1.3861136,1.3891229,1.3898855,1.3889356,1.3881098,1.4179056,1.4172559,1.4163396,0.9629543,0.9608656
Aruba,ABW,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.4684441,1.4689355,1.4635658,1.4627699,1.2441605,1.3576467,1.3588318,1.2660605,0.9845005,0.9858983,0.9835183,0.9825611,0.9800098
Australia,AUS,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.9936736,1.9689203,1.9635732,1.7300796,1.8631086,1.8544442,1.7943998,1.7942938,1.7686469,1.7864413,1.6038237,1.6770561,1.7288156
Australia,AUS,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.7130228,1.7037267,1.7045531,1.6221252,1.7947484,1.6762148,1.6248454,1.6442984,1.7247815,1.6666492,1.6054566,1.7024874,1.7675146
Australia,AUS,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.0028093,0.9549761,0.9876022,0.9563371,1.0196126,0.8032474,0.9540785,0.7831479,0.8840942,0.8454141,0.8859397,0.8536507,0.9015353
Australia,AUS,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.5972921,1.575215,1.6348948,1.6356769,1.7323447,1.7177851,1.7288287,1.6237004,1.6358922,1.6342612,1.5521387,1.5701838,1.471946
Australia,AUS,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,1.6357193,1.6451967,1.707013,1.543246,1.5339542,1.5545445,1.5880705,1.6211893,1.5700131,1.4944488,1.4705869,1.4353311,1.4808101
Australia,AUS,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.6844562,1.8396635,1.9300031,1.8805423,1.7469317,1.7397648,1.8140649,1.8256736,1.828177,1.8466041,1.7684279,1.7860103,1.8002733
Austria,AUT,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,1.6674975,1.5778123,1.3720899,1.4466859,1.4211309,1.4914799,1.5179793,1.5672466,1.6348091,1.607711,1.6059221,1.3601171,1.3678343
Austria,AUT,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.7509901,1.5645026,1.5204181,1.5738779,1.6929112,1.6009157,1.658232,1.6138342,1.6043579,1.7527565,1.9079985,1.8163061,1.7373291
Austria,AUT,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.2601717,1.2207577,1.3019271,1.287147,1.3377971,1.1389655,0.8951862,0.9266955,0.8440814,0.7878108,0.8186312,0.7543747,0.6005165
Austria,AUT,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,1.7638238,1.6684956,1.7025891,1.7373053,1.7758935,1.7816313,1.7942461,1.7738843,1.7989463,1.8098146,1.7481079,1.7167011,1.6419642
Austria,AUT,Voice and Accountability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_VA.EST,1.6082815,1.5482262,1.5522565,1.5862519,1.5285745,1.5465377,1.5055302,1.4702463,1.4643983,1.4551242,1.5300268,1.4910037,1.4754309
Austria,AUT,Regulatory Quality - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RQ.EST,1.6301795,1.5512902,1.5292054,1.4173873,1.3187394,1.2822536,1.3915836,1.4202869,1.530712,1.5588698,1.4737069,1.4481822,1.4011869
Azerbaijan,AZE,Control of Corruption - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_CC.EST,-1.2337448,-1.1630943,-1.1735441,-1.0027032,-1.1217641,-0.9367808,-0.752306599999999,-0.8585937,-0.9065044,-0.7550887,-0.7598072,-0.775813299999999,-0.8302212
