STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,FREQ,Frequency of observation,TECH,Technology domain,UNIT_MEASURE,Unit of measure,SIZE,Family size,SEX,Sex,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_SEC,Climate change mitigation technologies for sector-wide applications,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_MA,Maritime or waterways transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PA,Paper recycling,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN,Enabling technologies in transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_ORG,Bio-organic fraction processing; Production of fertilisers from the organic fraction of waste or refuse,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PACK,"Packaging reuse or recycling, e.g. of multilayer packaging",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_RE_GEO,Geothermal energy,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2010,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC_FI,Nuclear fission reactors,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_LIME,Production or processing of lime,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GHG_CH4,Capture or disposal of methane (CH4),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN,Enabling technologies in transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PA,Paper recycling,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_TE_SG,Smart grids as climate change mitigation technology in the energy generation sector,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC_FU,Nuclear fusion reactors,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2011,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_CEM,Production of cement,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,BUILD_ENE_APP,Energy efficiency in home appliances,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_EF,Fuel efficiency-improving vehicle design (common to all road vehicles),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_CHEM_GHG,"Reduction of greenhouse gas [GHG] emissions, e.g. CO2",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RA,Rail transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_OIL_BIO,Bio-feedstock,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_DIS,"Mechanical processing of waste for the recovery of materials, e.g. crushing, shredding, separation or disassembly",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2012,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_AGR_SAVE,"Measures for saving energy, e.g. in green houses",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2013,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_BAT,Recycling of batteries or fuel cells,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2013,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_CHEM_BULK,Improvements relating to the production of bulk chemicals,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2013,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2013,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_GHG,Enabling technologies or technologies with a potential or indirect contribution to GHG emissions mitigation,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2013,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2013,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_ENA_STO_MEC,"Mechanical energy storage, e.g. flywheels or pressurised fluids",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,BUILD_ENE_APP,Energy efficiency in home appliances,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_RE_SOPV,Solar thermal-PV hybrids,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_EF,Fuel efficiency-improving vehicle design (common to all road vehicles),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_CHEM_GHG,"Reduction of greenhouse gas [GHG] emissions, e.g. CO2",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_MA,Maritime or waterways transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_CHEM_PROC,Process efficiency in chemical industry,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GHG_CH4,Capture or disposal of methane (CH4),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_CHEM_BULK,Improvements relating to the production of bulk chemicals,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_HY,Hybrid vehicles,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_TR,"Waste collection, transportation, transfer or storage",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2014,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PL,Plastics and rubber recycling,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_COM,"Combustion technologies with mitigation potential (e.g. using fossil fuels, biomass, waste, etc.)",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_DIS,"Mechanical processing of waste for the recovery of materials, e.g. crushing, shredding, separation or disassembly",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,BUILD_ARC,Architectural or constructional elements improving the thermal performance of buildings,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_AGR_FISH,Fishing; Aquaculture; Aquafarming,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GHG_N20,Capture or disposal of nitrous oxide (N2O),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_CER,Production of ceramic materials or ceramic elements,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RA,Rail transport,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_COM_OUT,"Technologies for improved output efficiency (combined heat and power, combined cycles, etc.)",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_CHEM_GHG,"Reduction of greenhouse gas [GHG] emissions, e.g. CO2",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_GHG,Enabling technologies or technologies with a potential or indirect contribution to GHG emissions mitigation,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_TE_SG,Smart grids as climate change mitigation technology in the energy generation sector,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_CEM,Production of cement,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2015,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_WOOD,Recycling of wood or furniture waste,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_ENA_STO_MEC,"Mechanical energy storage, e.g. flywheels or pressurised fluids",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC_FU,Nuclear fusion reactors,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC,Nuclear energy,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_EF,Fuel efficiency-improving vehicle design (common to all road vehicles),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_COM_INP,Technologies for improved input efficiency (efficient combustion or heat usage),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_AGR_RENEW,"Using renewable energies, e.g. solar water pumping",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_TE_SG,Smart grids as climate change mitigation technology in the energy generation sector,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GHG_CH4,Capture or disposal of methane (CH4),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_DIS,"Mechanical processing of waste for the recovery of materials, e.g. crushing, shredding, separation or disassembly",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_COM,"Combustion technologies with mitigation potential (e.g. using fossil fuels, biomass, waste, etc.)",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_MIN_LIME,Production or processing of lime,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_PACK,"Packaging reuse or recycling, e.g. of multilayer packaging",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_CD,Construction or demolition [C&D] waste,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2016,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_TR,"Waste collection, transportation, transfer or storage",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2017,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_CD,Construction or demolition [C&D] waste,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2017,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_HY,Hybrid vehicles,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2017,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,GOODS_AGR_RENEW,"Using renewable energies, e.g. solar water pumping",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2017,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,BUILD_ENE_APP,Energy efficiency in home appliances,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2017,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_MET,Waste management of vehicles,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2017,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_ENA_STO_MEC,"Mechanical energy storage, e.g. flywheels or pressurised fluids",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC_FU,Nuclear fusion reactors,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_NUC,Nuclear energy,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_EN_CE,"Application of hydrogen technology to transportation, e.g. using fuel cells",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_TE_NC,Not elsewhere classified,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,BUILD_ENE_APP,Energy efficiency in home appliances,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_EF,Fuel efficiency-improving vehicle design (common to all road vehicles),PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_TE_SG,Smart grids as climate change mitigation technology in the energy generation sector,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_RE_MA,"Marine energy, e.g. using wave energy or salinity gradient",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,ENE_COM_OUT,"Technologies for improved output efficiency (combined heat and power, combined cycles, etc.)",PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_WASTE_FILL,Landfill technologies aiming to mitigate methane emissions,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2018,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,TRA_RO_HY,Hybrid vehicles,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2019,,1,,A,Normal value,0,Units,2,Two
DATAFLOW,OECD.ENV.EPI:DSD_PAT_DEV@DF_PAT_DEV(1.0),Patents - technology development,I,AUS,Australia,A,Annual,WAT_WASTE_REC_BAT,Recycling of batteries or fuel cells,PATN,Patents,ONE,One and greater (all inventions),_T,Total,2019,,1,,A,Normal value,0,Units,2,Two
