Country Name,Country Code,Indicator Name,Indicator Code,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,AUS,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,17.1706953384702,17.5765489903207,16.6683560456588,16.829765784434,16.5959944417401,16.6086378746496,16.9621152422373,16.8818822360916,16.6234785114637,16.8063765003653,16.7013386719001,16.7907061390951,16.5241589891756
Austria,AUT,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,15.2037565025394,14.471071197857,14.1083992023763,14.1096672358816,14.2000353559587,13.8128002200682,13.4754256675668,13.131233761884,12.7822697702952,12.7756424507145,12.868686813217,12.7331644048992,12.5336053977049
Belgium,BEL,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,14.3607079700151,14.301468902239,14.3458586686807,15.0793577513736,14.6133120937256,15.1790515250301,14.8308023221284,14.486774173287,14.5781396776752,14.7839715467259,15.4567628062388,14.5087822120722,15.2673929360956
Canada,CAN,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,15.5373797697853,15.3401104640215,15.2046212822301,15.1937468402224,14.9980201035223,14.9994423334932,14.9480638436383,14.8668846195798,15.0698230641698,14.793832255492,15.1614646338023,14.0025081307423,13.4696652206516
Czechia,CZE,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,17.7250544549,18.0511317515391,18.4155181035194,17.564166922736,17.9931530474211,17.3385691437302,17.1596497512951,17.1204384822858,16.9441441743836,16.8009610976191,16.8861339495659,15.9507395798579,16.4986305606455
Denmark,DNK,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,9.15026705978026,9.10040418008781,9.27241682152105,9.12787121870624,8.97040916736187,8.8667634521666,8.78823205454087,8.34040639285405,8.13657537435459,8.33874885632135,8.52100217239152,8.82661576780533,8.26090989394888
Finland,FIN,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,13.9172568903914,13.0880546696525,13.2262136363216,13.5851101734798,13.0391456459705,14.280142330675,13.7938083208324,13.0119642394497,12.8692260151504,13.1767388043177,13.4375990007687,13.9219092073435,13.4633226526599
France,FRA,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,11.5255263766123,11.6648466075948,11.4830009615914,11.2729500272241,11.6107160247835,11.5899810324345,11.8137909483003,11.6020607699954,11.6459889107223,12.092951501577,12.4044649233312,12.613508966466,13.1068786768122
Germany,DEU,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,11.2103232741508,11.7164935721871,11.6062308221147,11.1578239828395,10.9126070865451,10.7089511459393,10.5268037927621,10.2871408220488,9.91918301826442,9.57550688804391,8.87520612030277,8.98560019865245,8.47864963220015
Greece,GRC,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,35.7415239595386,36.3458237866392,36.7826043269211,37.1274829337478,36.1070757826573,35.0976908414397,34.2330340584486,34.2123634219274,33.6272560069403,32.0429971017365,32.0033824324076,31.8246281559046,30.3435684957129
Hungary,HUN,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,12.3167767151124,12.1440751055019,11.7341846284234,11.2758280500693,11.3252778533457,11.0081211784842,10.8169742343231,10.3350512795291,10.4948149171436,10.7818244748446,12.0014414909135,12.5563750475215,12.3813879139998
Ireland,IRL,"Self-employed, total (% of total employment) (modeled ILO estimate)",SL.EMP.SELF.ZS,17.2084055513298,16.8134425757133,16.8285323088785,17.0190914980626,16.8046007848504,16.4654295419175,16.2300994640063,15.4410683516529,15.0157203526873,14.3986353153855,14.5218582032361,14.1653782521181,14.0228629474157
