isic_rev3_4,cpc3,probability_weight
"0111","A23",.5594264
"0111","B02",.0325897
"0111","C12",.0354347
"0111","C13",.1946323
"0111","Y02",.1779168
"0112","A01",.1874522
"0112","A23",.7799355
"0112","Y02",.0326123
"0113","A01",.0653183
"0113","A23",.9124072
"0113","Y02",.0222746
"0121","A01",.2575234
"0121","A61",.1870677
"0121","C12",.555409
"0122","A01",.4737118
"0122","A61",.1209745
"0122","C12",.3600266
"0122","Y02",.0452871
"0130","A01",.7604732
"0130","C05",.2395268
"0140","A01",.9761418
"0140","Y02",.0238582
"0150","A01",1
"0200","B06",.00819
"0200","G01",.8245709
"0200","G06",.1672391
"0500","A01",.7473868
"0500","A22",.0632588
"0500","A23",.0491766
"0500","C02",.0283878
"0500","Y02",.11179
"1010","B03",.6122761
"1010","C10",.3423851
"1010","Y02",.0453388
"1020","B09",.2656448
"1020","C02",.5986732
"1020","C10",.135682
"1030","B07",.6109353
"1030","C05",.3354156
"1030","C10",.0536491
"1110","B01",.0519231
"1110","C10",.8825893
"1110","E21",.03673
"1110","F25",.0287576
"1120","E21",.9236853
"1120","F04",.0763147
"1200","C22",.8090917
"1200","E21",.1909083
"1310","B03",.2670078
"1310","C21",.1861758
"1310","C22",.2852722
"1310","F27",.0618284
"1310","Y02",.1997159
"1320","C22",.906994
"1320","Y02",.093006
"1410","B03",.0665024
"1410","B09",.1625641
"1410","B28",.034812
"1410","C02",.0640549
"1410","C04",.2686684
"1410","C05",.0276925
"1410","C10",.0585138
"1410","C22",.0228216
"1410","E02",.0309129
"1410","E21",.2634575
"1421","C05",.771162
"1421","C07",.228838
"1422","B01",.0919095
"1422","C07",.5312282
"1422","C10",.0395332
"1422","C12",.2202616
"1422","C22",.1170674
"1429","B03",.2133674
"1429","C10",.5656467
"1429","E21",.2209859
"1511","A22",.9071032
"1511","A23",.0928968
"1512","A01",.0594939
"1512","A23",.9079106
"1512","C14",.0325955
"1513","A01",.5921624
"1513","A23",.3768539
"1513","C12",.0309837
"1514","A21",.0255114
"1514","A23",.6712974
"1514","A47",.0258019
"1514","A61",.0381511
"1514","C11",.2392382
"1520","A01",.0463705
"1520","A23",.9536295
"1531","A01",.1461722
"1531","A21",.6224828
"1531","A23",.1776935
"1531","B02",.0215598
"1531","C12",.0320917
"1532","A21",.0493213
"1532","A23",.3454896
"1532","A61",.1245044
"1532","C07",.0296083
"1532","C08",.0288295
"1532","C12",.3681684
"1532","C13",.0540785
"1533","A01",.4571365
"1533","A23",.5428635
"1541","A21",.9458963
"1541","A23",.0287532
"1541","B01",.0253506
"1542","A23",.2815715
"1542","A61",.0329329
"1542","B67",.0225702
"1542","C07",.0282789
"1542","C12",.113289
"1542","C13",.5213575
"1543","A23",1
"1544","A21",.3494982
"1544","A23",.4386549
"1544","D21",.2118469
"1549","A21",.0410135
"1549","A23",.1424235
"1549","C12",.816563
"1551","A61",.0220349
"1551","C08",.2932746
"1551","C09",.070628
