isic_rev3_1,cpc3,probability_weight
"A","A01",.5361103
"A","A23",.2641444
"A","C12",.0227681
"A","G01",.0962913
"A","G06",.0212203
"A","Y02",.0594655
"B","A01",.7473868
"B","A22",.0632588
"B","A23",.0491766
"B","C02",.0283878
"B","Y02",.11179
"C","B03",.0560952
"C","C10",.1196621
"C","C22",.04598
"C","E21",.7312492
"C","F04",.0470135
"D","A61",.1383249
"D","B60",.0573128
"D","B65",.0471948
"D","C07",.0573209
"D","C08",.0716207
"D","F16",.068095
"D","G01",.0804117
"D","G03",.0373536
"D","G06",.0622465
"D","H01",.1308252
"D","H04",.0610166
"D","Y02",.116574
"D","Y10",.0717034
"E","B01",.0833113
"E","B08",.0278015
"E","B63",.0349376
"E","C01",.0443332
"E","C02",.4678957
"E","C07",.0236965
"E","C08",.0239614
"E","E03",.1313052
"E","E21",.0239158
"E","F22",.0468069
"E","F25",.0242702
"E","Y02",.024585
"E","Y10",.0431799
"F","E02",.1992477
"F","H01",.8007523
"Other","A63",.217791
"Other","G06",.5290799
"Other","G07",.0713381
"Other","H04",.181791
