isic_rev3_2,cpc4,probability_weight
"01","A01G",.1607049
"01","A01H",.1300097
"01","A01M",.3104964
"01","A01N",.026909
"01","A23B",.0217491
"01","A23F",.1131244
"01","A23L",.1267576
"01","A23V",.0476411
"01","C13B",.012356
"01","Y02W",.0502518
"02","G01V",1
"05","A01K",.9383149
"05","Y02W",.0616851
"10","B03B",.2757193
"10","B03D",.2369978
"10","C05F",.0075947
"10","C10B",.058147
"10","C10F",.0278447
"10","C10G",.0506656
"10","C10J",.1562477
"10","C10K",.0272888
"10","C10L",.1594944
"11","C10G",.0446341
"11","E21B",.8817112
"11","F04B",.0736547
"12","C22B",.8524975
"12","E21B",.072956
"12","G01T",.0660141
"12","G21F",.0085324
"13","C22B",.8397282
"13","Y02W",.1602718
"14","B03B",.0322817
"14","B03D",.0525428
"14","C05D",.0080782
"14","C07C",.0335285
"14","C07G",.0011472
"14","C07H",.0097804
"14","C07K",.0208285
"14","C08B",.0128909
"14","C08H",.0016746
"14","C10C",.0373765
"14","C10G",.5432466
"14","C11B",.0062714
"14","C12C",.0132453
"14","C12F",.0017386
"14","C12P",.0173281
"14","C12R",.0049305
"14","C22B",.0637844
"14","E21B",.0503058
"14","E21C",.0890201
"15","A01H",.173494
"15","A01J",.0233964
"15","A21B",.0121802
"15","A21C",.0499268
"15","A21D",.1151921
"15","A22B",.0053753
"15","A22C",.0465018
"15","A23C",.0771228
"15","A23D",.0186007
"15","A23G",.1072169
"15","A23J",.0150662
"15","A23K",.0357886
"15","A23L",.2233229
"15","A23N",.0078302
"15","A23P",.0051276
"15","A23Y",.0023171
"15","B02B",.0054446
"15","C12G",.0146161
"15","C12H",.0043305
"15","C12J",.0009957
"15","C12L",.0000743
"15","C12N",.037876
"15","C12Q",.0066109
"15","C12Y",.0058278
"15","C13K",.0054521
"15","G10L",.0003125
"16","A24B",.1649575
"16","A24C",.0253252
"16","A24F",.7911196
"16","F23Q",.0185977
"17","A41C",.0127318
"17","A41D",.0635117
"17","A41G",.0006461
"17","A41H",.0117092
"17","A44B",.0065273
"17","A44D",.0001176
"17","A45B",.0032017
"17","A47H",.0078341
"17","D01D",.0022609
"17","D01F",.0051081
"17","D01G",.0189459
"17","D01H",.0179004
"17","D02G",.0380644
"17","D02H",.0008912
"17","D02J",.0034239
"17","D03D",.0694029
"17","D03J",.0032824
"17","D04B",.110083
"17","D04C",.001504
"17","D04D",.0015827
"17","D04G",.0003634
"17","D04H",.0938461
"17","D05B",.0391346
"17","D05C",.0179063
"17","D05D",.0070089
"17","D06B",.1188255
"17","D06C",.0521432
"17","D06G",.0012944
"17","D06H",.0147185
"17","D06J",.0022897
"17","D06L",.009236
"17","D06M",.0552821
"17","D06N",.0331338
"17","D06P",.0486626
"17","D06Q",.0053422
"17","D10B",.084299
"17","F17B",.0002036
"17","G21B",.0001365
"17","Y10T",.0374444
"18","A41B",.0836151
"18","A41D",.671382
"18","A41F",.0223309
"18","A42B",.1094774
"18","A42C",.0015863
"18","A43B",.0553957
