isic_rev3_3,cpc2,probability_weight
"403","F2",.3728195
"403","G2",.0358244
"403","Y0",.4474235
"410","A2",.0323939
"410","B0",.3195814
"410","C0",.3730874
"410","E0",.085836
"410","E2",.0370635
"410","F0",.0380518
"410","F2",.0234784
"410","Y1",.0905078
"451","E0",.0997713
"451","H0",.9002287
"452","E0",.7262096
"452","H0",.0336261
"452","Y0",.2401642
"453","E0",.041905
"453","H0",.2906882
"453","Y0",.6674067
"454","B6",.0543349
"454","E0",.689434
"454","Y0",.1618283
"454","Y1",.0944028
"455","B0",1
"501","B6",.0408168
"501","G0",.9591832
"502","B2",.0548008
"502","B6",.5370918
"502","F0",.0320031
"502","F1",.0445514
"502","G0",.0717731
"502","Y0",.2597797
"504","B6",.5441077
"504","F0",.4558923
"505","F1",.024602
"505","G0",.975398
"511","G0",1
"512","A2",.8275604
"512","A4",.1724397
"513","G0",1
"514","A4",.7057902
"514","G0",.2670306
"514","Y0",.0271792
"515","G0",1
"519","G0",1
"521","A2",.0373643
"521","A4",.9303975
"521","G0",.0322382
"522","A2",1
"523","G0",1
"526","G0",.9759936
"526","G1",.0240064
"551","A2",.0469809
"551","A4",.0876862
"551","E0",.4594466
"551","F2",.093216
"551","G0",.3126704
"552","A4",.0782217
"552","E0",.0604469
"552","G0",.1037214
"552","G1",.75761
"602","B6",.9023476
"602","E2",.0976524
"603","B0",.1095002
"603","C1",.0755264
"603","E2",.5721394
"603","F1",.2096259
"603","F2",.0332082
"611","A0",.1048668
"611","B6",.2848532
"611","E0",.1584967
"611","G2",.0952551
"611","H0",.3565282
"621","B6",1
"622","B6",1
"630","G0",1
"641","B4",.0668055
"641","G0",.9331945
"642","H0",1
"651","B4",.2745349
"651","G0",.7254651
"659","G0",1
"660","G0",1
"671","G0",1
"672","G0",1
"701","G0",1
"702","G0",1
"722","G0",.8405583
"722","H0",.1594417
"723","G0",.4326154
"723","H0",.5673847
"724","G0",.7875623
"724","H0",.2124378
"725","B4",.633945
"725","G0",.3444498
"725","H0",.0216051
"729","G0",.9767878
"729","H0",.0232122
"731","G0",.3266793
"731","Y0",.6733208
"741","G0",1
"742","G0",1
"743","G0",1
"749","G0",1
"751","B6",.0461628
"751","C0",.1213182
"751","E0",.0610772
"751","G0",.5904459
"751","G2",.0258426
"751","H0",.1551533
"752","H0",1
"753","G0",.9337808
"753","H0",.0662193
"801","A4",.9028388
"801","G0",.0971612
"802","A4",1
"803","G0",1
"809","A4",1
"851","A6",1
"853","A0",.7089531
"853","A6",.21077
"853","G0",.0802769
"900","A6",.0508694
"900","B0",.6296123
"900","C0",.2118356
"900","Y1",.1076827
"911","Y1",1
"921","A6",.0416168
"921","G0",.0909084
"921","G1",.1343263
"921","H0",.7331485
"922","H0",1
"923","A0",.474005
