cpc2,isic_rev3_3,probability_weight
"A0","012",.0042112
"A0","013",.0002004
"A0","014",.1714975
"A0","015",.0884558
"A0","050",.017715
"A0","151",.2620732
"A0","152",.0367118
"A0","153",.1569713
"A0","241",.0216043
"A0","242",.0247832
"A0","292",.2143276
"A0","853",.0007951
"A0","923",.0002262
"A0","950",.0004274
"A2","011",.0366839
"A2","151",.2399334
"A2","152",.21194
"A2","153",.2619391
"A2","154",.2307814
"A2","160",.018638
"A2","512",.0000337
"A2","522",.0000505
"A4","173",.0536346
"A4","181",.0185087
"A4","182",.0000549
"A4","192",.1299068
"A4","293",.1264181
"A4","361",.6696369
"A4","514",.0000291
"A4","521",.0009836
"A4","801",.0000305
"A4","802",.0003984
"A4","809",.0003984
"A6","241",.067819
"A6","242",.3949378
"A6","331",.1945823
"A6","369",.185504
"A6","851",.0530215
"A6","924",.1021087
"A6","930",.0020266
"B0","103",.0000789
"B0","241",.281599
"B0","242",.0363649
"B0","269",.02544
"B0","289",.029384
"B0","291",.0763197
"B0","371",.0001752
"B0","372",.001236
"B0","410",.5100802
"B0","455",.0000334
"B0","900",.0392887
"B2","201",.008655
"B2","241",.0475968
"B2","252",.0964241
"B2","269",.0462726
"B2","271",.1091299
"B2","272",.028923
"B2","273",.0243286
"B2","289",.3090119
"B2","291",.1229011
"B2","292",.2067571
"B3","173",.118393
"B3","210",.2245589
"B3","241",.1960947
"B3","242",.1876073
"B3","252",.1209426
"B3","261",.1152541
"B3","291",.0371494
"B4","172",.0419026
"B4","210",.5827262
"B4","222",.324165
"B4","242",.0235487
"B4","292",.0272525
"B4","651",.0000245
"B4","725",.0003806
"B6","191",.0192262
"B6","210",.0400375
"B6","251",.0253965
"B6","252",.0351121
"B6","291",.1778497
"B6","292",.0217418
"B6","341",.1689182
"B6","342",.1255802
"B6","343",.0505592
"B6","351",.0806989
"B6","352",.0341105
"B6","353",.0832016
"B6","359",.1371718
"B6","502",.0003781
"B6","621",8.83e-06
"B6","622",8.83e-06
"B8","241",.2813372
"B8","242",.0293201
"B8","261",.0461515
"B8","289",.1031574
"B8","321",.0708784
"B8","331",.106444
"B8","332",.314586
"B8","451",.0481255
"C0","241",.6536954
"C0","242",.1329847
"C0","261",.0620988
"C0","269",.0330552
"C0","410",.118166
"C1","101",.0031993
"C1","102",.000039
"C1","111",.0047694
"C1","153",.0846684
"C1","154",.1117162
"C1","155",.0324943
"C1","231",.2490482
"C1","232",.1178482
"C1","241",.1955363
"C1","242",.2006807
"C2","131",.0001609
"C2","132",.0032209
"C2","241",.0339328
"C2","271",.6261471
"C2","272",.2277514
"C2","273",.0353064
"C2","289",.0734805
"C3","241",.2026557
"C3","261",.052233
"C3","272",.0692136
"C3","289",.0561622
"C3","291",.1111438
"C3","369",.5085915
"C4","241",.7708812
"C4","242",.1759593
"C4","300",.0531594
"D0","171",.1777825
"D0","172",.0295482
"D0","173",.6814585
"D0","243",.0249938
"D0","292",.0396334
"D0","293",.0465835
"D1","171",.0307138
"D1","173",.9692861
"D2","210",1
"E0","202",.0434262
"E0","261",.0348328
"E0","269",.6499307
"E0","271",.0504734
"E0","291",.0223383
"E0","352",.0353452
"E0","410",.1055425
"E0","451",.0319251
"E0","452",.0137588
"E0","454",.0052899
"E0","551",.0071372
"E2","112",.4657795
"E2","120",.0019551
"E2","141",.0033732
"E2","142",.0043332
"E2","269",.0834651
"E2","271",.0265163
"E2","291",.1699332
"E2","292",.060087
"E2","403",.0374123
"E2","410",.1368151
"E2","602",.0004018
"E2","603",.0099281
"F0","291",.8689625
"F0","319",.1045613
"F0","410",.0262099
"F0","504",.0002663
"F1","252",.022856
"F1","271",.0226425
"F1","291",.8948768
"F1","341",.0312315
"F1","343",.0283933
"F2","269",.0274735
"F2","281",.0289919
"F2","291",.1541408
"F2","293",.3322484
"F2","315",.1537496
"F2","332",.027899
"F2","402",.0492357
"F2","403",.1970489
"F2","410",.0292121
"F4","242",.104206
"F4","292",.895794
"G0","020",.0171149
"G0","221",.000075
"G0","300",.4151594
"G0","313",.0049442
"G0","321",.043579
"G0","331",.1476602
"G0","332",.1491859
"G0","333",.0559762
"G0","501",.0000578
"G0","505",.0001313
"G0","511",.0126196
"G0","513",.0000119
"G0","515",.0000551
"G0","519",.0000729
"G0","523",.0000119
"G0","526",.0040317
"G0","630",.0005263
"G0","641",.0007464
"G0","659",.0011053
"G0","660",.0016039
"G0","671",.0051062
"G0","672",.0007281
"G0","701",.0000119
"G0","702",.0000646
"G0","722",.1092721
"G0","724",.0020944
"G0","729",.0008047
"G0","741",.0184108
"G0","742",.002787
"G0","743",.00084
"G0","749",.0048423
"G0","753",.0003595
"G0","803",9.49e-06
"G1","223",.0000269
"G1","292",.0285247
"G1","300",.3260724
"G1","321",.1180784
"G1","332",.1202359
"G1","333",.3608547
"G1","552",.0373972
"G1","921",.0088098
"G2","172",.0252146
"G2","241",.0898035
"G2","269",.1551614
"G2","271",.15808
"G2","272",.0453315
"G2","273",.0462803
"G2","291",.0408614
"G2","403",.3884246
"G2","410",.0480541
"G2","611",.002004
"G2","751",.0007846
"H0","289",.0393925
"H0","300",.0624052
"H0","311",.0080229
"H0","312",.0174836
"H0","314",.1009053
"H0","321",.373643
"H0","322",.0032273
"H0","323",.0731113
"H0","331",.0572822
"H0","332",.085318
"H0","333",.0894111
"H0","451",.0725059
"H0","642",.0139735
"H0","723",.0019638
"H0","752",.0013276
"H0","922",.0000267
"Y0","233",.0282046
"Y0","241",.0581585
"Y0","261",.02695
"Y0","269",.0405837
"Y0","271",.0793768
"Y0","272",.0307396
"Y0","291",.1460798
"Y0","293",.069433
"Y0","314",.2906991
"Y0","331",.0349738
"Y0","401",.0277228
"Y0","403",.1641202
"Y0","453",.0029419
"Y0","731",.0000162
"Y1","173",.1204438
"Y1","252",.0493808
"Y1","261",.0513644
"Y1","269",.0651449
"Y1","271",.0524976
"Y1","272",.0593018
"Y1","289",.1284066
"Y1","291",.1864299
"Y1","292",.0754388
"Y1","300",.0269561
"Y1","369",.0380822
"Y1","410",.1463599
"Y1","911",.0001717
"Y1","990",.0000214
