cpc3,isic_rev3_4,probability_weight
"B66","2915",.9131441
"B67","1542",.0553209
"B67","1552",.112008
"B67","1553",.6840096
"B67","1554",.0605426
"B67","2320",.0231455
"B67","4100",.0649736
"B68","1721",.1033116
"B68","1730",.1420862
"B68","1810",.0324407
"B68","1912",.4582959
"B68","3610",.2080662
"B68","9219",.0557994
"B81","2411",.0347898
"B81","2413",.0304422
"B81","2429",.0408638
"B81","2610",.0974842
"B81","2891",.1038822
"B81","3210",.0720051
"B81","3230",.1564987
"B81","4510",.464034
"B82","2411",.1657721
"B82","2413",.1170051
"B82","2423",.0235306
"B82","2891",.0792829
"B82","2892",.0218636
"B82","3210",.0433103
"B82","3311",.0273112
"B82","3312",.1536996
"B82","3320",.3682247
"C01","2330",.0784472
"C01","2411",.2183679
"C01","2412",.2915918
"C01","2891",.0503894
"C01","4020",.02733
"C01","4030",.1207093
"C01","4100",.2131643
"C02","4100",.9334589
"C02","9000",.0665411
"C03","2610",.9628065
"C03","2914",.0371936
"C04","2691",.0030693
"C04","2692",.0330988
"C04","2693",.3137771
"C04","2694",.5606996
"C04","2695",.0893552
"C05","0130",.0001799
"C05","1421",.0005733
"C05","2412",.9992468
"C06","2411",.0300138
"C06","2413",.0234019
"C06","2429",.9465843
"C07","2411",.2132513
"C07","2412",.0363609
"C07","2423",.71624
"C07","4100",.0266938
"C07","8511",.0029928
"C07","8519",.0044611
"C08","2411",.0602203
"C08","2413",.912644
"C08","4100",.0271357
"C09","2411",.140607
"C09","2413",.5314941
"C09","2422",.1314695
"C09","2429",.1670072
"C09","2892",.0294222
"C10","1110",.0112672
"C10","2310",.6445903
"C10","2320",.2616911
"C10","2411",.0513049
"C10","4030",.0311465
"C11","2411",.0227811
"C11","2424",.9772189
"C12","0121",.0035636
"C12","0122",.0034018
"C12","1513",.0246187
"C12","1531",.0708872
"C12","1532",.1469917
"C12","1542",.0859681
"C12","1549",.3437274
"C12","1552",.0583877
"C12","1553",.0754694
"C12","2411",.035458
"C12","2423",.1515263
"C13","0111",.0431075
"C13","1532",.049519
"C13","1542",.9073735
"C14","1512",.0068766
"C14","1551",.0028103
"C14","1810",.0379346
"C14","1911",.8964921
"C14","2411",.0272194
"C14","2413",.028667
"C21","2710",.7625966
"C21","2731",.0550211
"C21","2914",.1823823
"C22","1200",.0032587
"C22","1320",.0249166
"C22","2710",.7068056
"C22","2720",.1921492
"C22","2731",.0438256
"C22","2914",.0290442
"C23","2411",.0998473
"C23","2412",.0377632
"C23","2710",.1769583
"C23","2720",.2959898
"C23","2891",.0450049
"C23","2892",.2842075
"C23","3691",.060229
"C25","2411",.0656451
"C25","2710",.0685063
"C25","2720",.5482764
"C25","2891",.0452362
"C25","2892",.2723359
"C30","2411",.0834728
