cpc4,isic_rev3_3,probability_weight
"A01B","292",1
"A01C","013",.1453288
"A01C","153",.0544999
"A01C","241",.1856436
"A01C","291",.0735611
"A01C","292",.4887343
"A01C","451",.0522324
"A01D","014",.0345127
"A01D","151",.0254936
"A01D","291",.0341115
"A01D","292",.9058821
"A01F","014",.0536462
"A01F","153",.0291053
"A01F","291",.1210512
"A01F","292",.7961972
"A01G","014",.6611602
"A01G","410",.3388398
"A01H","014",.0594222
"A01H","151",.6243642
"A01H","153",.3162136
"A01J","152",1
"A01K","012",.0853453
"A01K","015",.0235401
"A01K","050",.5797254
"A01K","151",.0841568
"A01K","191",.0906532
"A01K","291",.0421969
"A01K","351",.0643509
"A01K","853",.0300313
"A01L","012",.0231644
"A01L","192",.8540637
"A01L","202",.0381529
"A01L","241",.0265625
"A01L","242",.0580564
"A01M","015",1
"A01N","014",.1384162
"A01N","151",.0848627
"A01N","153",.2000493
"A01N","154",.0246092
"A01N","241",.228118
"A01N","242",.3239446
"A21B","153",.2820156
"A21B","154",.6929915
"A21B","291",.0249929
"A21C","153",.7863464
"A21C","154",.2136536
"A21D","153",.7397364
"A21D","154",.2602636
"A22B","151",.9696069
"A22B","291",.0303931
"A22C","151",1
"A23B","011",.085487
"A23B","151",.8847567
"A23B","410",.0297562
"A23C","152",1
"A23D","151",.4731922
"A23D","152",.3148145
"A23D","153",.1327477
"A23D","154",.0792456
"A23F","011",.6839029
"A23F","152",.024538
"A23F","154",.2443823
"A23F","410",.0471768
"A23G","152",.2351059
"A23G","154",.7648941
"A23J","151",.0662894
"A23J","152",.579456
"A23J","153",.2916587
"A23J","154",.0221077
"A23J","410",.0404883
"A23K","151",.3261288
"A23K","152",.1401071
"A23K","153",.4101311
"A23K","154",.123633
"A23L","011",.1089458
"A23L","151",.3089426
"A23L","152",.0640722
"A23L","153",.3525618
"A23L","154",.1345098
"A23L","410",.0309678
"A23N","011",.0353978
"A23N","151",.8724594
"A23N","522",.0921429
"A23P","151",.1492157
"A23P","152",.0714113
"A23P","153",.6206708
"A23P","154",.1587022
"A23V","011",.3972266
"A23V","151",.1671262
"A23V","152",.1885202
"A23V","153",.1365498
"A23V","154",.1105772
"A23Y","151",.0317779
"A23Y","152",.942643
"A23Y","153",.0255791
"A24B","160",1
"A24C","160",.6229041
"A24C","210",.173962
"A24C","291",.0547882
"A24C","292",.1483457
"A24D","160",.2911369
"A24D","210",.6836141
"A24D","241",.025249
"A24F","160",1
"A41B","172",.0545447
"A41B","173",.5912037
"A41B","181",.3542515
"A41C","173",.9633948
"A41C","181",.0366052
"A41D","173",.4136437
"A41D","181",.5863562
"A41F","173",.6028172
"A41F","181",.3504602
"A41F","191",.022544
"A41F","252",.0241786
"A41G","173",.2256533
"A41G","241",.0261011
"A41G","242",.3429177
"A41G","243",.368658
"A41G","252",.0366698
"A41H","173",.7172694
"A41H","181",.0667004
"A41H","182",.2160302
"A42B","173",.1834032
"A42B","181",.4343173
"A42B","191",.0241024
"A42B","924",.3581771
"A42C","171",.1423226
"A42C","173",.6313956
"A42C","181",.0958217
"A42C","252",.0313982
"A42C","924",.0990618
"A43B","192",1
"A43C","192",1
"A43D","192",1
"A44B","173",.6581812
"A44B","191",.0868606
"A44B","243",.0627125
"A44B","252",.1668308
"A44B","289",.0254149
"A44C","173",.0283369
"A44C","191",.3722103
"A44C","242",.0460928
"A44C","252",.0351384
"A44C","269",.115608
"A44C","271",.0263164
"A44C","272",.1643594
"A44C","289",.1901045
"A44C","552",.0218334
"A44D","172",.0249947
"A44D","173",.6434402
"A44D","181",.0256324
"A44D","191",.0817858
"A44D","252",.0306388
"A44D","271",.1122932
"A44D","289",.081215
"A45B","172",.028066
"A45B","173",.7602497
"A45B","191",.0349936
"A45B","252",.0807428
"A45B","269",.0381636
"A45B","291",.0577844
"A45C","191",.9780689
"A45C","252",.0219311
"A45D","252",.0263873
"A45D","293",.294565
"A45D","802",.0871464
"A45D","809",.0871464
"A45D","930",.5047548
"A45F","173",.0735823
"A45F","191",.8612068
"A45F","252",.0652108
"A46B","151",.3155092
"A46B","242",.4433989
"A46B","243",.0252103
"A46B","252",.0754627
"A46B","269",.0250219
"A46B","289",.02738
"A46B","291",.0317092
"A46B","924",.0248912
"A46B","930",.0314167
"A46D","241",.0805786
"A46D","242",.0521604
"A46D","243",.7284625
"A46D","252",.0443672
"A46D","269",.0301562
"A46D","289",.0642751
"A47B","361",1
"A47C","361",1
"A47D","173",.036093
"A47D","191",.0924793
"A47D","361",.8714277
"A47F","361",.8409699
"A47F","512",.0023786
"A47F","514",.0008395
"A47F","521",.155812
"A47G","155",.0402443
"A47G","172",.6252948
"A47G","173",.0928504
"A47G","252",.0301532
"A47G","289",.0640883
"A47G","361",.1245182
"A47G","369",.0228508
"A47H","172",.4863111
"A47H","173",.4420896
"A47H","252",.045269
"A47H","454",.0263302
"A47J","151",.1681596
"A47J","152",.0985042
"A47J","154",.1216923
"A47J","292",.0370061
"A47J","293",.5727347
"A47J","801",.0019032
"A47K","210",.8897741
