cpc1,isic_rev3_4,probability_weight
"A","0112",.0013228
"A","0113",.0053537
"A","0121",.0003014
"A","0122",.0004688
"A","0130",5.69e-06
"A","0140",.0056288
"A","0150",.0025455
"A","0500",.0011639
"A","1511",.0343292
"A","1512",.0005749
"A","1513",.0518377
"A","1514",.0056318
"A","1520",.0523456
"A","1531",.0668053
"A","1532",.0179207
"A","1533",.001403
"A","1541",.0104233
"A","1542",.0176147
"A","1543",.0169659
"A","1544",.0042425
"A","1549",.0060272
"A","1600",.0019017
"A","1820",5.15e-06
"A","1920",.0162213
"A","2413",.0272915
"A","2421",.0154413
"A","2423",.2044358
"A","2921",.0303444
"A","2925",.0057299
"A","3311",.134372
"A","3610",.0951424
"A","3693",.0462506
"A","3694",.053961
"A","5122",7.73e-06
"A","5142",3.44e-06
"A","5143",1.72e-06
"A","5211",.0001292
"A","5220",5.15e-06
"A","8010",2.86e-06
"A","8022",.0000374
"A","8090",.0000374
"A","8512",.0187768
"A","8519",.0015941
"A","8532",.0001241
"A","9219",.0004935
"A","9232",.0000354
"A","9241",.0430829
"A","9302",.0004849
"A","9303",.0000139
"A","9309",.0011602
"B","1552",.001024
"B","1553",.0016445
"B","1554",.0011354
"B","1721",.0048062
"B","1912",.0083764
"B","2023",.0008465
"B","2101",.0727074
"B","2109",.0339478
"B","2221",.0014127
"B","2222",.0129572
"B","2413",.0310673
"B","2422",.0181817
"B","2429",.0354515
"B","2511",.0208359
"B","2519",.0095694
"B","2520",.06004
"B","2732",.0005412
"B","2812",.0008444
"B","2893",.0575845
"B","2911",.0265143
"B","2913",.0663983
"B","2915",.1510889
"B","2922",.0239174
"B","2923",.0021394
"B","2929",.028609
"B","3410",.0818319
"B","3420",.0565479
"B","3430",.0226289
"B","3511",.0029093
"B","3512",.0320243
"B","3530",.0377446
"B","3591",.0148356
"B","3592",.0413112
"B","3599",.003446
"B","3720",.0001313
"B","4100",.0344137
"B","4550",1.39e-06
"B","5020",.0002387
"B","5040",.0001017
"B","6021",.0000873
"B","6023",.0000976
"B","6210",3.69e-06
"B","6220",3.69e-06
"C","1020",.0000131
"C","1030",8.56e-06
"C","1110",.0002315
"C","1421",5.85e-06
"C","1422",.0006524
"C","1551",.0005831
"C","2310",.0101059
"C","2320",.0119715
"C","2411",.2339135
"C","2412",.0617848
"C","2413",.3441325
"C","2423",.1174941
"C","2424",.0312302
"C","2610",.0482515
"C","2691",.0001168
"C","2692",.0014872
"C","2710",.0415179
"C","2731",.001864
"C","3710",.0000114
"C","4100",.0924174
"C","8511",.0003699
"C","9000",.0018368
"D","1711",.0470689
"D","1712",.0614068
"D","1722",.0174342
"D","1723",.0048865
"D","1729",.002755
"D","1730",.4435357
"D","1810",.0033446
"D","1911",.00119
"D","2010",.0010642
"D","2101",.2856584
"D","2430",.015902
"D","2926",.059262
"D","2929",.0286702
"D","2930",.0278216
"E","1120",.0187521
"E","1200",.0000787
"E","1410",.0002313
"E","1429",.0005911
"E","2021",.0073717
"E","2022",.0059874
"E","2029",.0170243
"E","2694",.0326304
"E","2695",.6002108
"E","2696",.0005651
"E","2699",.0305847
"E","2710",.0431103
"E","2811",.0080466
"E","2924",.0657079
"E","3520",.0225605
"E","4100",.1070682
"E","4510",.0229644
"E","4520",.0083441
"E","4540",.0032081
"E","5510",.0043284
"E","6030",.0004235
"E","6110",.0000974
"E","7512",.0001131
"F","2911",.4722642
"F","2912",.0274368
"F","2913",.2763315
"F","2919",.0410247
"F","2927",.0677161
"F","2930",.0279538
"F","3150",.0123224
"F","3190",.0241864
"F","4020",.0137237
"F","4030",.0370405
"G","0200",.0134305
"G","2213",.000014
"G","2219",.0000618
"G","3000",.4150797
"G","3130",.0039319
"G","3210",.0525094
"G","3311",.0254096
"G","3312",.0672944
"G","3313",.0446104
"G","3320",.1495995
"G","3330",.0823087
"G","5010",.0000489
"G","5050",.000103
"G","5110",.0099537
"G","5139",9.31e-06
"G","5141",9.31e-06
"G","5150",.0000432
"G","5190",.0000572
"G","5231",4.65e-06
"G","5233",4.65e-06
"G","5260",.0034986
"G","5520",.0027974
"G","6304",.0003443
"G","6309",.0000689
"G","6411",.0005544
"G","6412",.0000375
"G","6511",4.65e-06
"G","6519",.0000141
"G","6592",.0002263
"G","6599",.000641
"G","6601",.0007154
"G","6602",.0001256
"G","6603",.0004177
"G","6711",.0002629
"G","6712",.0000279
"G","6719",.0037533
"G","6720",.0005713
"G","7010",9.31e-06
