isic_rev3_1,cpc1,probability_weight
"A","A",.6289803
"A","C",.0288827
"A","G",.2244998
"A","Y",.1176372
"B","A",.7320904
"B","Y",.2679096
"C","C",.2099362
"C","E",.704763
"C","F",.0404973
"C","Y",.0448034
"D","A",.1401599
"D","B",.1726702
"D","C",.1543374
"D","D",.0234997
"D","E",.02111
"D","F",.1052779
"D","G",.1405299
"D","H",.1392692
"D","Y",.1031458
"E","B",.0933906
"E","C",.3945923
"E","E",.142929
"E","F",.1966003
"E","Y",.1724878
"F","E",.133155
"F","H",.866845
"Other","A",.1318498
"Other","G",.7229451
"Other","H",.1452052
