cpc4,isic_rev3_1,probability_weight
"A01B","A",.0638727
"A01B","D",.8986238
"A01B","F",.0375035
"A01C","A",.0516999
"A01C","D",.7743822
"A01C","F",.1739179
"A01D","A",.1519444
"A01D","D",.8480556
"A01F","A",.1715298
"A01F","D",.8284702
"A01G","A",.4980649
"A01G","D",.0246819
"A01G","E",.4772532
"A01H","A",.6559755
"A01H","D",.3440245
"A01J","D",1
"A01K","A",.0225173
"A01K","B",.871323
"A01K","D",.1061597
"A01L","D",1
"A01M","A",.9632406
"A01M","D",.0367594
"A01N","A",.2239387
"A01N","D",.7760612
"A21B","D",1
"A21C","D",1
"A21D","D",1
"A22B","D",1
"A22C","B",.1107229
"A22C","D",.889277
"A23B","A",.4572285
"A23B","D",.3169445
"A23B","E",.225827
"A23C","D",.8816276
"A23C","E",.1183724
"A23D","D",.7272363
"A23D","E",.2727638
"A23F","A",.8590544
"A23F","D",.028584
"A23F","E",.1123616
"A23G","D",.8843764
"A23G","E",.1156236
"A23J","D",.5105726
"A23J","E",.4894275
"A23K","A",.0538238
"A23K","B",.13579
"A23K","D",.8103862
"A23L","A",.3892842
"A23L","D",.4031968
"A23L","E",.207519
"A23N","A",.2845149
"A23N","D",.4873039
"A23N","E",.2281812
"A23P","A",.0463276
"A23P","D",.8342336
"A23P","E",.1194387
"A23V","A",.7484484
"A23V","D",.1781362
"A23V","E",.0734155
"A23Y","A",.2589597
"A23Y","D",.7007576
"A23Y","E",.0402828
"A24B","D",1
"A24C","D",1
"A24D","D",1
"A24F","D",1
"A41B","D",1
"A41C","D",1
"A41D","D",.9483938
"A41D","Other",.0516062
"A41F","D",1
"A41G","D",1
"A41H","D",1
"A42B","D",.2045805
"A42B","Other",.7954196
"A42C","D",.6705341
"A42C","Other",.3294659
"A43B","D",.9746936
"A43B","Other",.0253065
"A43C","D",.8972254
"A43C","Other",.1027746
"A43D","D",1
"A44B","D",1
"A44C","D",.9781181
"A44C","Other",.0218819
"A44D","D",1
"A45B","D",.9680864
"A45B","Other",.0319136
"A45C","D",1
"A45D","D",.8833609
"A45D","Other",.1166391
"A45F","D",.9604964
"A45F","Other",.0395036
"A46B","D",.9450583
"A46B","Other",.0549417
"A46D","D",1
"A47B","D",1
"A47C","D",1
"A47D","D",1
"A47F","D",.9759355
"A47F","Other",.0240645
"A47G","D",1
"A47H","D",1
"A47J","D",1
"A47K","D",1
"A47L","D",1
"A61B","D",.9318368
"A61B","Other",.0681632
"A61C","D",.9362897
"A61C","Other",.0637103
"A61D","A",.0235312
"A61D","D",.9764688
"A61F","D",.9639128
"A61F","Other",.0360871
"A61G","D",.8862264
"A61G","Other",.1137736
"A61H","D",.6209856
"A61H","Other",.3790144
"A61J","D",.9772609
"A61J","E",.0227391
"A61K","D",1
"A61L","D",1
"A61M","D",1
"A61N","D",.9745643
"A61N","Other",.0254357
"A61Q","D",1
"A62B","D",.9337142
"A62B","E",.0662858
"A62C","D",1
"A62D","D",.453103
"A62D","E",.546897
"A63B","D",.0708326
"A63B","Other",.9291674
"A63C","D",.9539391
"A63C","Other",.0460609
"A63D","D",.8240168
"A63D","Other",.1759832
"A63F","D",.286386
"A63F","Other",.713614
