cpc2,isic_rev3_2,probability_weight
"A0","01",.2376669
"A0","05",.0264619
"A0","15",.5300335
"A0","24",.0666004
"A0","29",.1385988
"A0","95",.0006385
"A2","01",.0232585
"A2","15",.9569241
"A2","16",.0198174
"A4","17",.1061983
"A4","18",.0288868
"A4","19",.1815799
"A4","29",.0429942
"A4","36",.6362733
"A4","80",.0012057
"A4","93",.0028618
"A6","15",.0267478
"A6","24",.4285674
"A6","33",.1874197
"A6","36",.1813789
"A6","85",.0681713
"A6","92",.1077148
"B0","15",.0231961
"B0","23",.0277116
"B0","24",.2834437
"B0","26",.0278632
"B0","28",.0282584
"B0","29",.0794944
"B0","37",.0013474
"B0","41",.4908757
"B0","90",.0378094
"B2","24",.060726
"B2","25",.1235369
"B2","26",.0437871
"B2","27",.1705948
"B2","28",.3279216
"B2","29",.2734337
"B3","17",.1224088
"B3","21",.2141316
"B3","24",.3589066
"B3","25",.1251764
"B3","26",.1016885
"B3","27",.0266255
"B3","29",.0510627
"B4","21",.6221448
"B4","22",.3437655
"B4","24",.0340897
"B6","21",.04235
"B6","25",.0629342
"B6","29",.1989603
"B6","34",.3542322
"B6","35",.340978
"B6","50",.0005266
"B6","62",.0000187
"B8","24",.3219341
"B8","26",.0529006
"B8","28",.1132741
"B8","32",.099619
"B8","33",.3620656
"B8","45",.0502065
"C0","24",.7860198
"C0","26",.0911623
"C0","41",.1228179
"C1","10",.0036991
"C1","15",.2344761
"C1","23",.3024902
"C1","24",.4302409
"C1","40",.0290937
"C2","13",.0033959
"C2","24",.0273521
"C2","27",.8970621
"C2","28",.0721899
"C3","24",.2238417
"C3","26",.0764116
"C3","27",.0768468
"C3","28",.0813841
"C3","29",.1362025
"C3","36",.4053133
"C4","24",.9211693
"C4","26",.0254292
"C4","30",.0534015
"D0","17",.9593153
"D0","29",.0406847
"D1","17",1
"D2","21",1
"E0","20",.0458156
"E0","26",.6626121
"E0","27",.0520124
"E0","28",.026691
"E0","29",.0378495
"E0","41",.1235523
"E0","45",.051467
"E2","11",.4302213
"E2","12",.0022361
"E2","14",.0082137
"E2","26",.0645948
"E2","27",.0270898
"E2","29",.242022
"E2","40",.0578253
"E2","41",.1564852
"E2","60",.0113117
"F0","29",.9132324
"F0","31",.0225279
"F0","40",.0297668
"F0","41",.0344728
"F1","25",.0469859
"F1","27",.0259399
"F1","29",.8698708
"F1","34",.0572034
"F2","26",.0612447
"F2","27",.0224226
"F2","29",.4169298
"F2","31",.0423219
"F2","33",.0372046
"F2","40",.372912
"F2","41",.0469644
"F4","24",.1794386
"F4","26",.0241107
"F4","29",.7964507
"G0","02",.0168159
"G0","24",.0223096
"G0","30",.4079069
"G0","32",.0456934
"G0","33",.3439806
"G0","51",.0125298
"G0","52",.0038888
"G0","63",.0005171
"G0","65",.0011084
"G0","66",.0015759
"G0","67",.0057321
"G0","70",.0000751
"G0","72",.1114581
"G0","74",.0264083
"G1","30",.4271263
"G1","32",.1566892
"G1","33",.3873971
"G1","55",.0287874
"G2","24",.0862661
"G2","26",.1771643
"G2","27",.2681549
"G2","29",.0449459
"G2","40",.3665703
"G2","41",.0546206
"G2","61",.0022778
"H0","26",.0323141
"H0","28",.0401771
"H0","30",.0604806
"H0","31",.1237026
"H0","32",.4346421
"H0","33",.2067096
"H0","45",.0669293
"H0","64",.0129361
"H0","72",.0210812
"H0","75",.0010273
"Y0","23",.0234286
"Y0","24",.0566007
"Y0","26",.0740766
"Y0","27",.120993
"Y0","29",.1960817
"Y0","31",.2850578
"Y0","33",.0330826
"Y0","40",.2106613
"Y0","73",.0000177
"Y1","17",.1302015
"Y1","25",.0619458
"Y1","26",.1039496
"Y1","27",.092488
"Y1","28",.114511
"Y1","29",.2298782
"Y1","30",.0241655
"Y1","34",.0328323
"Y1","35",.0231204
"Y1","36",.0555261
"Y1","41",.1312084
"Y1","91",.0001539
"Y1","99",.0000192
