isic_rev3_4,cpc1,probability_weight
"0111","A",.4020743
"0111","C",.1300445
"0111","Y",.4678812
"0112","A",.9119087
"0112","Y",.0880913
"0113","A",.9307294
"0113","Y",.0692706
"0121","A",.8341117
"0121","C",.1298195
"0121","Y",.0360688
"0122","A",.8321956
"0122","C",.0819252
"0122","Y",.0858793
"0130","A",.970888
"0130","Y",.029112
"0140","A",.8669174
"0140","C",.0293081
"0140","Y",.1037746
"0150","A",1
"0200","G",1
"0500","A",.7320904
"0500","Y",.2679096
"1010","B",.0763688
"1010","C",.3823012
"1010","F",.0261906
"1010","Y",.5151394
"1020","C",1
"1030","B",.1795956
"1030","C",.5934857
"1030","Y",.2269187
"1110","B",.0744078
"1110","C",.7215052
"1110","E",.0684344
"1110","F",.1063793
"1110","Y",.0292733
"1120","E",.9571765
"1120","F",.0428235
"1200","C",.4840524
"1200","E",.4618617
"1200","G",.0263938
"1200","Y",.027692
"1310","C",.196968
"1310","Y",.8030319
"1320","C",.3667315
"1320","Y",.6332685
"1410","B",.0724154
"1410","C",.5824785
"1410","E",.3451061
"1421","C",1
"1422","B",.0262463
"1422","C",.9737537
"1429","B",.038511
"1429","C",.4373227
"1429","E",.5241663
"1511","A",1
"1512","A",.9752553
"1512","C",.0247447
"1513","A",.9494508
"1513","B",.0212008
"1513","C",.0293484
"1514","A",.8691961
"1514","C",.1308039
"1520","A",1
"1531","A",.9639927
"1531","C",.0360073
"1532","A",.6739075
"1532","C",.3260925
"1533","A",1
"1541","A",.841611
"1541","B",.1066147
"1541","C",.0517743
"1542","A",.7092272
"1542","C",.2907728
"1543","A",1
"1544","A",.6853157
"1544","C",.0276859
"1544","D",.2869984
"1549","A",.5321451
"1549","C",.4678549
"1551","A",.0642745
"1551","C",.75938
"1551","Y",.1763455
"1552","A",.2261517
"1552","B",.3848298
"1552","C",.2980458
"1552","F",.0909726
"1553","A",.0380863
"1553","B",.5735517
"1553","C",.3883621
"1554","A",.2312045
"1554","B",.3782429
"1554","C",.2427422
"1554","D",.0703348
"1554","F",.0276123
"1554","Y",.0498632
"1600","A",1
"1711","D",1
"1712","D",1
"1721","A",.2100443
"1721","B",.5862271
"1721","D",.1070716
"1721","Y",.096657
"1722","A",.1279595
"1722","B",.0242616
"1722","D",.7888974
"1722","Y",.0588814
"1723","A",.0349662
"1723","D",.9398639
"1723","Y",.0251698
"1729","A",.0639474
"1729","B",.0353667
"1729","D",.7394401
"1729","Y",.1612459
"1730","A",.0578706
"1730","B",.0223718
"1730","D",.886174
"1730","Y",.0335835
"1810","A",.521031
"1810","B",.0220195
"1810","D",.4120933
"1810","Y",.0448561
"1820","A",1
"1911","C",.1670084
"1911","D",.8329916
"1912","A",.51771
"1912","B",.4388429
"1912","Y",.0434471
"1920","A",.8949772
"1920","B",.0288208
"1920","F",.0762021
"2010","B",.5120892
"2010","D",.3812302
"2010","Y",.1066806
"2021","B",.2315265
"2021","E",.7097926
"2021","Y",.0586809
"2022","B",.0448565
"2022","E",.9551435
"2023","A",.1329171
"2023","B",.6915776
"2023","D",.0330918
"2023","E",.0373743
"2023","F",.1050392
"2029","A",.0568644
"2029","B",.1073798
"2029","E",.8139923
"2029","Y",.0217634
"2101","B",.2759542
"2101","D",.7240458
"2109","A",.0280681
"2109","B",.819511
"2109","D",.1524208
"2211","G",.1008496
"2211","H",.8991504
"2213","G",1
"2219","G",.9770414
"2219","H",.0229586
"2221","B",.7834112
"2221","G",.2165888
"2222","B",.8356944
"2222","G",.1643056
"2230","G",.0677111
"2230","H",.9322889
"2310","B",.0246228
"2310","C",.9161557
"2310","Y",.0592214
"2320","B",.0533168
"2320","C",.6535289
"2320","F",.1569181
"2320","Y",.1362363
"2330","C",.0562801
"2330","Y",.9437199
"2411","A",.0399081
"2411","B",.0636196
"2411","C",.8190531
"2411","G",.0272483
"2411","H",.0293344
"2411","Y",.0208366
"2412","A",.0656917
"2412","B",.0321557
"2412","C",.8318362
"2412","Y",.0703163
"2413","A",.0676242
"2413","B",.0593429
"2413","C",.8298135
"2413","D",.0221236
"2413","G",.0210958
