isic_rev3_4,cpc2,probability_weight
"0111","A0",.0294428
"0111","A2",.6146038
"0111","C0",.0232914
"0111","C1",.0553475
"0111","Y0",.2773145
"0112","A0",.2445929
"0112","A2",.7130951
"0112","Y0",.042312
"0113","A0",.0897206
"0113","A2",.8798568
"0113","Y0",.0304226
"0121","A0",.4016957
"0121","A6",.2439713
"0121","C1",.3264696
"0121","Y0",.0278635
"0122","A0",.6264517
"0122","A6",.1337601
"0122","C1",.180239
"0122","Y0",.0595493
"0130","A0",1
"0140","A0",.9762739
"0140","Y0",.0237261
"0150","A0",1
"0200","G0",1
"0500","A0",.8090347
"0500","A2",.0706411
"0500","Y0",.1203242
"1010","B0",.1140509
"1010","C1",.6135042
"1010","E2",.0238437
"1010","Y0",.2486012
"1020","B0",.0397971
"1020","C0",.46327
"1020","C1",.496933
"1030","B0",.3689048
"1030","C0",.0719769
"1030","C1",.422993
"1030","Y0",.1361254
"1110","B0",.0928136
"1110","C1",.7918143
"1110","E2",.0924669
"1110","F2",.0229053
"1120","E2",1
"1200","C2",.5263305
"1200","E2",.4501019
"1200","G2",.0235677
"1310","C2",.537117
"1310","Y0",.4628829
"1320","C2",.7315128
"1320","Y0",.2684872
"1410","B0",.1023773
"1410","C0",.1935218
"1410","C1",.1030231
"1410","E2",.6010779
"1421","C0",1
"1422","B0",.1199921
"1422","C0",.4563836
"1422","C1",.3640519
"1422","C2",.0595725
"1429","B0",.0465891
"1429","C1",.4329115
"1429","E2",.5204995
"1511","A2",1
"1512","A0",.0794696
"1512","A2",.9205304
"1513","A0",.650141
"1513","A2",.3285924
"1513","C1",.0212666
"1514","A2",.8128163
"1514","A4",.0278049
"1514","A6",.0458735
"1514","C1",.1135053
"1520","A0",.0588936
"1520","A2",.9411064
"1531","A0",.2398847
"1531","A2",.7329039
"1531","C1",.0272114
"1532","A2",.4953065
"1532","A6",.1466024
"1532","C0",.063805
"1532","C1",.2686947
"1532","D2",.0255915
"1533","A0",.5323215
"1533","A2",.4676784
"1541","A2",.8987404
"1541","A4",.0306884
"1541","B0",.0705712
"1542","A0",.0297993
"1542","A2",.5958079
"1542","A6",.0670154
"1542","C0",.0365615
"1542","C1",.2708159
"1543","A2",1
"1544","A2",.7531521
"1544","D2",.2468479
"1549","A2",.3259193
"1549","A4",.029625
"1549","C1",.6444557
"1551","A6",.033414
"1551","C0",.3844741
"1551","C1",.279157
"1551","Y1",.3029549
"1552","A2",.0362487
"1552","A4",.0837985
"1552","B6",.1673936
"1552","C1",.6155506
"1552","F2",.0970087
"1553","B0",.0216283
"1553","B6",.2527
"1553","C1",.7256716
"1554","A2",.1607309
"1554","A6",.0514181
"1554","B0",.1143047
"1554","B3",.0245044
"1554","B6",.2438204
"1554","C0",.1394604
"1554","C1",.0547895
"1554","D2",.1266757
"1554","Y1",.0842958
"1600","A2",1
"1711","D0",.9696476
"1711","D1",.0303524
"1712","D0",1
