isic_rev3_4,cpc4,probability_weight
"0111","A23F",.0615615
"0111","A23L",.3882591
"0111","A23V",.0791423
"0111","B02B",.0306607
"0111","C13B",.1672917
"0111","Y02E",.037336
"0111","Y02W",.2357487
"0112","A01G",.0619004
"0112","A01H",.151345
"0112","A23B",.0666462
"0112","A23L",.496858
"0112","A23V",.161862
"0112","Y02W",.0613885
"0113","A01H",.0883558
"0113","A23B",.0447427
"0113","A23F",.541099
"0113","A23L",.187387
"0113","A23V",.1124213
"0113","Y02W",.0259943
"0121","A01J",.0279645
"0121","A01K",.4251607
"0121","A01L",.021038
"0121","A61D",.1359553
"0121","A61K",.0883578
"0121","C12N",.3015237
"0122","A01K",.5551888
"0122","A01M",.1915253
"0122","A61K",.0856451
"0122","C12N",.1349933
"0122","Y02W",.0326474
"0130","A01C",.9251173
"0130","C05F",.0748827
"0140","A01D",.0458299
"0140","A01G",.5729564
"0140","A01H",.2195383
"0140","A01M",.0501312
"0140","A01N",.0832803
"0140","F25C",.0282639
"0150","A01M",1
"0200","G01V",1
"0500","A01K",.9383149
"0500","Y02W",.0616851
"1010","B03B",.2892816
"1010","B03D",.2486554
"1010","C10B",.0610072
"1010","C10G",.0411515
"1010","C10J",.1639334
"1010","C10K",.0286312
"1010","C10L",.1673398
"1020","C10F",1
"1030","B07B",.3725342
"1030","C05F",.5619798
"1030","C10G",.065486
"1110","C10G",.9381865
"1110","F25J",.0618135
"1120","E21B",.9183007
"1120","F04B",.0816993
"1200","C22B",.859834
"1200","E21B",.0735839
"1200","G01T",.0665822
"1310","B03B",.2264636
"1310","C21B",.1912345
"1310","C22B",.2709126
"1310","Y02W",.3113892
"1320","C22B",.8553551
"1320","Y02W",.144645
"1410","B03B",.0604007
"1410","B09B",.0399245
"1410","B09C",.0296782
"1410","B28D",.0261921
"1410","C02F",.0271028
"1410","C04B",.1136785
"1410","C05D",.034533
"1410","C07G",.0156378
"1410","C10G",.0555183
"1410","C12F",.0236994
"1410","C22B",.0285395
"1410","E21C",.5450951
"1421","C05F",.4135106
"1421","C07H",.5864894
"1422","B01J",.0355541
"1422","C07C",.1378602
"1422","C07D",.0725515
"1422","C07H",.0357062
"1422","C07K",.1019679
"1422","C08B",.0631089
"1422","C08H",.0081982
"1422","C10C",.0626987
"1422","C10G",.0244451
"1422","C11B",.0307023
"1422","C12C",.0648438
"1422","C12N",.0440289
"1422","C12P",.0848312
"1422","C12R",.0241376
"1422","C22B",.2093653
"1429","B03B",.0277727
"1429","B03D",.1061879
"1429","C10G",.7882511
"1429","E21B",.0777883
"1511","A22B",.0908936
"1511","A22C",.7547989
"1511","A23B",.0706695
"1511","A23K",.0311537
"1511","A23L",.0524844
"1512","A01K",.1129145
"1512","A23B",.4607809
