isic_rev3_3,cpc1,probability_weight
"011","A",.7259191
"011","C",.0505442
"011","Y",.2235367
"012","A",.8362066
"012","C",.1002419
"012","Y",.0635516
"013","A",.970888
"013","Y",.029112
"014","A",.8669174
"014","C",.0293081
"014","Y",.1037746
"015","A",1
"020","G",1
"050","A",.7320904
"050","Y",.2679096
"101","B",.0763688
"101","C",.3823012
"101","F",.0261906
"101","Y",.5151394
"102","C",1
"103","B",.1795956
"103","C",.5934857
"103","Y",.2269187
"111","B",.0744078
"111","C",.7215052
"111","E",.0684344
"111","F",.1063793
"111","Y",.0292733
"112","E",.9571765
"112","F",.0428235
"120","C",.4840524
"120","E",.4618617
"120","G",.0263938
"120","Y",.027692
"131","C",.196968
"131","Y",.8030319
"132","C",.3667315
"132","Y",.6332685
"141","B",.0724154
"141","C",.5824785
"141","E",.3451061
"142","B",.0347616
"142","C",.8815944
"142","E",.083644
"151","A",.9773725
"151","C",.0226275
"152","A",1
"153","A",.8978322
"153","C",.1021678
"154","A",.8351067
"154","C",.1648933
"155","A",.1578768
"155","B",.409671
"155","C",.3642704
"155","F",.0377984
"155","Y",.0303833
"160","A",1
"171","D",1
"172","A",.1706534
"172","B",.1903518
"172","D",.5467072
"172","Y",.0922875
"173","A",.0578706
"173","B",.0223718
"173","D",.886174
"173","Y",.0335835
"181","A",.521031
"181","B",.0220195
"181","D",.4120933
"181","Y",.0448561
"182","A",1
"191","A",.5060523
"191","B",.4292266
"191","D",.0215266
"191","Y",.0431945
"192","A",.8949772
"192","B",.0288208
"192","F",.0762021
"201","B",.5120892
"201","D",.3812302
"201","Y",.1066806
"202","A",.0442367
"202","B",.186059
"202","E",.7383859
"202","Y",.0313184
"210","B",.3628289
"210","D",.637171
"221","G",.6536998
"221","H",.3463002
"222","B",.8301136
"222","G",.1698864
"223","G",.0677111
"223","H",.9322889
"231","B",.0246228
"231","C",.9161557
"231","Y",.0592214
"232","B",.0533168
"232","C",.6535289
"232","F",.1569181
"232","Y",.1362363
"233","C",.0562801
"233","Y",.9437199
"241","A",.058356
"241","B",.0604636
"241","C",.8595586
"241","G",.0216219
"242","A",.5297735
"242","B",.0599874
"242","C",.410239
"243","D",1
"251","A",.0289367
"251","B",.6800643
"251","C",.0279428
"251","F",.1064482
"251","Y",.156608
"252","A",.0812807
"252","B",.6837426
"252","F",.0868874
"252","Y",.1480893
"261","B",.0613633
"261","C",.4544849
"261","E",.0691631
"261","G",.0839554
"261","H",.155797
"261","Y",.1752363
"269","B",.0652719
"269","C",.1182238
"269","E",.6054044
"269","F",.0484993
"269","H",.0625112
"269","Y",.1000893
"271","B",.0963863
"271","C",.3736969
"271","E",.1296211
"271","F",.0731113
"271","Y",.3271844
"272","B",.0559538
"272","C",.4320946
"272","Y",.5119517
"273","B",.2625128
"273","C",.354468
"273","E",.0522004
"273","F",.1833015
"273","Y",.1475172
"281","B",.0563769
"281","D",.0353749
"281","E",.0933688
"281","F",.2777566
"281","H",.1704179
"281","Y",.366705
"289","A",.0222848
"289","B",.3984624
"289","C",.0969744
"289","E",.0273659
"289","F",.0355893
"289","H",.2758098
"289","Y",.1435135
"291","B",.1918739
"291","F",.703701
"291","Y",.1044251
"292","A",.0995637
"292","B",.4407938
"292","D",.1824462
"292","E",.0419863
"292","F",.1310768
"292","G",.0388942
"292","Y",.0652389
"293","A",.2155522
"293","D",.2043721
"293","F",.3102677
"293","Y",.269808
"300","G",.8779016
"300","H",.1220984
"311","B",.0332418
"311","F",.0229287
"311","H",.8709929
"311","Y",.0728366
"312","H",1
"313","G",.7359066
"313","H",.2640934
"314","G",.0311633
"314","H",.5429419
"314","Y",.4258948
"315","F",.8093992
"315","H",.0891331
"315","Y",.1014676
"319","F",.7412996
"319","H",.1934237
"319","Y",.0652766
"321","G",.1318818
"321","H",.8681182
"322","G",.1348646
"322","H",.8651354
"323","G",.0457253
"323","H",.9542747
"331","A",.2765132
"331","G",.4922378
"331","H",.2043956
"331","Y",.0268534
"332","A",.0228048
"332","G",.6397033
"332","H",.3374919
"333","G",.4987796
"333","H",.5012205
"341","B",.7756936
"341","E",.0208566
"341","F",.1278726
"341","Y",.0755772
"342","B",.9775171
"342","Y",.0224829
"343","B",.685356
"343","E",.0548214
"343","F",.1655523
"343","Y",.0942703
"351","B",.9568435
"351","F",.0217193
"351","Y",.0214373
"352","B",.5970127
"352","E",.3631041
"352","Y",.0398832
"353","B",.6918035
"353","F",.0672817
"353","G",.1892946
"353","Y",.0516202
"359","B",.9285784
"359","F",.0223345
"359","Y",.0490871
"361","A",.9540967
"361","Y",.0459033
"369","A",.9147788
"369","B",.0355727
"369","Y",.0496485
"371","A",.135582
"371","B",.2779958
"371","C",.5160467
"371","D",.0703755
"372","A",.0712031
"372","B",.4886305
"372","C",.3490995
"372","F",.0463147
"372","Y",.0447521
"401","F",.0338717
"401","H",.1064078
"401","Y",.8597205
"402","C",.0826961
"402","F",.7570828
"402","Y",.1602211
"403","C",.0662096
"403","F",.3726776
"403","Y",.5611128
"410","B",.1474283
"410","C",.499795
"410","E",.1934234
"410","F",.1009168
"410","Y",.0584364
"451","E",.0987821
"451","H",.9012179
"452","B",.0203987
"452","E",.690901
"452","H",.0383669
"452","Y",.2503334
"453","E",.0433199
"453","H",.3603921
"453","Y",.596288
"454","B",.0384437
"454","E",.6653151
"454","Y",.2962413
"455","B",1
"501","G",1
"502","B",.5578234
"502","F",.1055369
"502","G",.098231
"502","Y",.2384086
"504","B",.5898286
"504","F",.4101714
"505","G",1
"511","G",1
"512","A",1
"513","G",1
"514","A",.3121871
"514","G",.6438686
"514","Y",.0439443
"515","G",1
"519","G",1
"521","A",.8810742
"521","G",.1189258
"522","A",1
"523","G",1
"526","G",1
"551","A",.0881117
"551","E",.5058079
"551","F",.0297579
"551","G",.3763225
"552","A",.0852653
"552","E",.1207882
"552","G",.7939465
"602","B",.9052573
"602","E",.0947426
"603","B",.1542748
"603","C",.0429883
"603","E",.309011
"603","F",.4937259
"611","A",.0217213
"611","B",.1998646
"611","E",.2012088
"611","G",.0343968
"611","H",.5428086
"621","B",1
"622","B",1
"630","G",1
"641","G",1
"642","H",1
"651","B",.0372553
"651","G",.9627447
"659","G",1
"660","G",1
"671","G",1
"672","G",1
"701","G",1
"702","G",1
"722","G",.8327997
"722","H",.1672003
"723","G",.4082387
