cpc2,isic_rev3_1,probability_weight
"A0","A",.4446066
"A0","B",.0627765
"A0","D",.4670833
"A0","E",.0255335
"A2","A",.1805899
"A2","D",.7070563
"A2","E",.1123538
"A4","D",1
"A6","D",.8913906
"A6","Other",.1086094
"B0","D",.4283638
"B0","E",.5716363
"B2","D",1
"B3","D",1
"B4","D",1
"B6","D",1
"B8","D",.9122539
"B8","F",.0877461
"C0","D",.7486739
"C0","E",.2513261
"C1","C",.0217648
"C1","D",.8826517
"C1","E",.0955836
"C2","D",1
"C3","D",1
"C4","D",1
"D0","D",1
"D1","D",1
"D2","D",1
"E0","D",.6153354
"E0","E",.2554702
"E0","F",.1291944
"E2","C",.4493297
"E2","D",.1831926
"E2","E",.3674776
"F0","D",.8391276
"F0","E",.1608724
"F1","D",.963774
"F1","E",.036226
"F2","D",.6305957
"F2","E",.3694043
"F4","D",1
"G0","D",.749875
"G0","Other",.250125
"G1","D",.9238866
"G1","Other",.0761134
"G2","D",.4896052
"G2","E",.5103948
"H0","D",.8108255
"H0","F",.1406169
"H0","Other",.0485576
"Y0","D",.9194978
"Y0","E",.0805022
"Y1","D",.79817
"Y1","E",.20183
