isic_rev3_2,cpc3,probability_weight
"01","A01",.579779
"01","A23",.3122044
"01","C12",.0269107
"01","C13",.0185868
"01","Y02",.0625192
"02","B06",.00819
"02","G01",.8245709
"02","G06",.1672391
"05","A01",.7473868
"05","A22",.0632588
"05","A23",.0491766
"05","C02",.0283878
"05","Y02",.11179
"10","B03",.5754175
"10","B07",.0298302
"10","C10",.3498661
"10","Y02",.0448862
"11","C10",.0236293
"11","E21",.900703
"11","F04",.0756677
"12","C22",.8090917
"12","E21",.1909083
"13","B03",.0215264
"13","C22",.8769603
"13","Y02",.1015133
"14","B01",.0534315
"14","B03",.1103715
"14","B09",.0227973
"14","C04",.0301969
"14","C05",.0134995
"14","C07",.1434339
"14","C10",.3538317
"14","C12",.0565914
"14","C22",.04222
"14","E21",.1736263
"15","A01",.1072059
"15","A21",.1861037
"15","A22",.055419
"15","A23",.5618109
"15","C12",.0894605
"16","A24",1
"17","A41",.1227126
"17","A44",.0049965
"17","D01",.0422671
"17","D02",.046104
"17","D03",.0784715
"17","D04",.2239169
"17","D05",.0703914
"17","D06",.2711385
"17","D10",.093413
"17","Y10",.0465884
"18","A41",.8032108
"18","A42",.1264753
"18","A43",.062394
"18","C14",.0079199
"19","A43",.8488368
"19","A45",.1016682
"19","A62",.0212975
"19","B60",.0244869
"19","B68",.0037107
"20","B27",.8063512
"20","B44",.0032713
"20","E04",.1245855
"20","E06",.0430347
"20","G10",.0227573
"21","A24",.0223922
"21","B41",.2316181
"21","B42",.0461023
"21","B65",.1368476
"21","D21",.5630398
"22","B41",.8163648
"22","B42",.084234
"22","G03",.0994012
"23","B01",.0391735
"23","C10",.9232078
"23","Y02",.0376188
"24","A61",.1960928
"24","B01",.0390669
"24","C06",.0063923
"24","C07",.2692669
"24","C08",.315169
"24","C09",.0869535
"24","C11",.0475404
"24","C40",.00045
"24","F42",.0088444
"24","H01",.0302238
"25","A45",.0286198
"25","B29",.4106982
"25","B31",.0230435
"25","B32",.0132033
"25","B60",.1237224
"25","B65",.1853018
"25","D07",.0107891
"25","E06",.0434623
"25","F16",.0636647
"25","Y02",.0248337
"25","Y10",.0726611
"26","B28",.0621608
"26","B33",3.50e-06
"26","C03",.280564
"26","C04",.2365793
"26","E01",.0399262
"26","E02",.0249441
"26","E04",.1895107
"26","G02",.0423441
"26","H01",.0516312
"26","Y02",.0378271
"26","Y10",.034509
"27","B21",.0415797
"27","B22",.0788214
"27","B23",.0333735
"27","C21",.2838097
"27","C22",.3295356
"27","C23",.0909702
"27","C25",.04567
"27","Y02",.0642907
"27","Y10",.0319492
"28","B21",.0783355
"28","B22",.047594
"28","B23",.1291395
"28","B25",.0402756
"28","B26",.2187357
"28","C23",.0924279
"28","C25",.0537274
"28","H01",.2134041
"28","H05",.0309053
"28","Y10",.095455
"29","A01",.0292491
"29","B04",.0101245
"29","B23",.0291273
"29","B30",.0055558
"29","B60",.045922
"29","B65",.0692698
"29","B66",.0408198
"29","F01",.0912673
"29","F02",.1688902
"29","F04",.0489424
"29","F05",.024046
"29","F15",.0162034
"29","F16",.22093
"29","F25",.0286324
"29","F27",.0132858
"29","F41",.0330682
"29","Y02",.0706987
"29","Y10",.0539672
"30","G06",.7751353
"30","G11",.0677075
"30","H04",.1571571
"31","B60",.0258239
"31","F02",.0367798
"31","F21",.0896406
"31","H01",.3002304
"31","H02",.274699
"31","Y02",.2728263
"32","G06",.0247603
"32","G09",.0868643
"32","G11",.0382907
"32","H01",.5053143
"32","H03",.0647829
"32","H04",.0932852
"32","H05",.1867023
"33","A61",.1291705
"33","B82",.0041319
"33","G01",.2616789
"33","G03",.1139699
"33","G04",.0296666
"33","G06",.0369919
"33","G11",.0643741
"33","H01",.0248999
"33","H03",.1252491
"33","H04",.2098671
"34","B60",.8086821
"34","B62",.12486
"34","E05",.0395126
"34","F16",.0269452
"35","B61",.1064726
"35","B62",.2252516
"35","B63",.1711043
"35","B64",.4971716
"36","A47",.4579344
"36","A63",.5272893
"36","B43",.0121548
"36","C30",.0026215
"37","A61",.0243998
"37","B01",.1157946
"37","B02",.1041755
"37","B03",.0650104
"37","B07",.2804801
"37","B09",.0335305
"37","B24",.0108069
"37","B65",.0269771
"37","C01",.0304428
"37","C02",.1572965
"37","C10",.0314625
"37","F23",.1010259
"37","F26",.0185975
"40","C01",.0549867
"40","C10",.0560093
"40","F01",.0460542
"40","F17",.0332676
"40","F22",.2277377
"40","F23",.0593284
"40","F24",.1184166
"40","F25",.0278403
"40","F28",.036042
"40","G21",.0182081
"40","Y02",.3221091
"41","B01",.0983803
"41","B05",.0162826
"41","B08",.0327358
"41","B63",.0412391
"41","C01",.0251055
"41","C02",.5301938
"41","C07",.0231836
"41","C08",.0253513
"41","E02",.0248736
"41","E03",.1439426
"41","Y10",.0387119
"45","B81",.0131662
"45","E02",.1966244
"45","H01",.7902094
"50","B25",.1185147
"50","B60",.3230897
"50","B62",.2789167
"50","F02",.0507416
"50","G06",.0520545
"50","G07",.1012087
"50","Y02",.0754741
"51","G06",1
"52","G06",.858087
"52","G07",.1206739
"52","G08",.0212391
"55","A47",.0724062
"55","A63",.0225647
"55","E04",.0907059
"55","E05",.1852956
"55","F24",.0250653
"55","G01",.0358182
"55","G05",.0177776
"55","G06",.0228989
"55","G07",.2128829
"55","G08",.0237247
"55","G11",.2908601
"60","B08",.0589945
"60","B61",.1019864
"60","B67",.0116181
"60","C10",.0649624
"60","E21",.1887958
"60","F17",.5073342
"60","F23",.0663086
"61","B63",.7038978
"61","E02",.164896
"61","F03",.015097
"61","H01",.1161091
"62","B64",1
"63","G06",.8445954
"63","G07",.0233613
"63","G08",.1320433
"64","H04",1
"65","G06",.9796767
"65","G07",.0203234
"66","G06",1
"67","G06",.9139266
"67","G07",.0860734
"70","G06",.9323355
"70","G07",.0676645
"72","G06",.7886484
"72","H04",.2113516
"73","Y04",1
"74","G01",.0227412
"74","G03",.0315437
"74","G06",.5386221
"74","G07",.3711156
"74","G08",.0359774
"75","G06",.1418188
"75","G08",.0558269
"75","H04",.8023543
"80","A41",.0613203
"80","A45",.9386796
"85","A61",.9670706
"85","C07",.0329294
"90","B01",.1557047
"90","B03",.0321771
"90","B08",.0251936
"90","B09",.0326517
"90","C02",.7199703
"90","Y10",.0343026
"91","Y10",1
"92","A63",.9138711
"92","G07",.0632196
"92","H04",.0229093
"93","A45",.7495514
"93","A46",.0106366
"93","A61",.1159525
"93","B26",.1238595
"95","A01",.0997674
"95","A41",.0253432
"95","A47",.0463452
"95","A61",.0474429
"95","G06",.078122
"95","G08",.2660178
"95","G09",.1671388
"95","G12",.0014509
"95","H04",.2683719
"99","A41",.080809
"99","A42",.026613
"99","A61",.0376298
"99","C08",.1897811
"99","C09",.0344562
"99","F21",.0533616
"99","G01",.3594828
"99","G06",.0286332
"99","G11",.0226554
"99","H04",.1185767
"99","Y10",.0480012
