cpc4,isic_rev3_4,probability_weight
"A01B","2921",1
"A01C","0130",.0374726
"A01C","1531",.0216063
"A01C","2412",.3122874
"A01C","2915",.0357126
"A01C","2921",.5929211
"A01D","2921",1
"A01F","2915",.0575981
"A01F","2921",.9424019
"A01G","0140",.6186736
"A01G","1513",.0261816
"A01G","2921",.0380791
"A01G","4100",.3170657
"A01H","0140",.0381766
"A01H","1513",.6320161
"A01H","1531",.3298073
"A01J","1520",.9488109
"A01J","2925",.0511891
"A01K","0122",.0422466
"A01K","0500",.4255441
"A01K","1511",.1487764
"A01K","1533",.2557418
"A01K","1912",.0673923
"A01K","2913",.027154
"A01K","3512",.0331447
"A01L","0121",.0485224
"A01L","1920",.739012
"A01L","2029",.0700996
"A01L","2413",.0300674
"A01L","2429",.1122985
"A01M","0150",.9619737
"A01M","2421",.0380262
"A01N","1531",.0262784
"A01N","2421",.9737216
"A21B","1531",.1295331
"A21B","1541",.8389267
"A21B","2915",.0315402
"A21C","1531",.6407899
"A21C","1541",.2574589
"A21C","1544",.0704409
"A21C","2915",.0313102
"A21D","1531",.6467807
"A21D","1532",.0239927
"A21D","1541",.3070811
"A21D","1549",.0221455
"A22B","1511",.9638457
"A22B","2915",.0361543
"A22C","1511",1
"A23B","0113",.0591478
"A23B","1511",.7433103
"A23B","1512",.0550013
"A23B","1513",.1425406
"A23C","1520",1
"A23D","1514",.8926163
"A23D","1520",.0759946
"A23D","1531",.0313892
"A23F","0113",.6128513
"A23F","1549",.3626332
"A23F","4100",.0245156
"A23G","1520",.0746367
"A23G","1542",.041181
"A23G","1543",.8841822
"A23J","1511",.1307714
"A23J","1520",.5535118
"A23J","1531",.1707562
"A23J","1532",.1062852
"A23J","4100",.0386755
"A23K","1511",.2781222
"A23K","1512",.02317
"A23K","1520",.0702651
"A23K","1531",.1143043
"A23K","1532",.0426079
"A23K","1533",.4252002
"A23K","1542",.0463304
"A23L","0111",.0346191
"A23L","0112",.0228447
"A23L","0113",.058993
"A23L","1511",.1314657
"A23L","1513",.1682086
"A23L","1520",.0643866
"A23L","1531",.2939098
"A23L","1532",.0765576
"A23L","1542",.0603316
"A23L","1544",.0575636
"A23L","4100",.0311198
"A23N","1513",.8749527
"A23N","2915",.0585741
"A23N","5220",.0664733
"A23P","1511",.0708075
"A23P","1513",.0332287
"A23P","1520",.043049
"A23P","1531",.4297521
"A23P","1532",.0235762
"A23P","1541",.1009279
"A23P","1544",.0352272
"A23P","2915",.0521664
"A23P","2925",.2112649
"A23V","0111",.06109
"A23V","0112",.0644267
"A23V","0113",.3063921
"A23V","1511",.0249096
"A23V","1513",.121158
"A23V","1520",.1702855
"A23V","1531",.0768551
"A23V","1532",.0460003
"A23V","1542",.045691
"A23V","1543",.0361762
"A23V","1549",.0225542
"A23V","2423",.0244612
"A23Y","0113",.0324753
"A23Y","1520",.9425719
"A23Y","1549",.0249528
"A24B","1600",.9724153
"A24B","2925",.0275847
"A24C","1600",.1766959
"A24C","2101",.054925
"A24C","2915",.0806779
"A24C","2925",.6877012
"A24D","1600",.271364
"A24D","2101",.6985683
"A24D","2925",.0300677
"A24F","1600",1
"A41B","1721",.0870667
"A41B","1730",.5708674
"A41B","1810",.3420659
"A41C","1729",.0396558
"A41C","1730",.8857537
"A41C","1810",.0336552
"A41C","2429",.0409353
"A41D","1730",.4136437
"A41D","1810",.5863562
"A41F","1712",.0249308
"A41F","1730",.5876195
"A41F","1810",.3416247
"A41F","1912",.0222559
"A41F","2520",.023569
"A41G","1729",.0997686
"A41G","1730",.1330572
"A41G","2429",.5281714
"A41G","2430",.2173804
"A41G","2520",.0216225
"A41H","1730",.7172694
"A41H","1810",.0667004
"A41H","1820",.2160302
"A42B","1730",.1698412
"A42B","1810",.4022012
"A42B","1912",.0226049
"A42B","9241",.4053527
"A42C","1711",.0749896
"A42C","1712",.0676442
"A42C","1729",.0226778
"A42C","1730",.5991048
"A42C","1810",.0909212
"A42C","2520",.0297925
"A42C","9241",.11487
"A43B","1920",1
"A43C","1920",1
"A43D","1920",1
"A44B","1730",.6518811
"A44B","1912",.0871267
"A44B","2429",.033646
"A44B","2430",.0621123
"A44B","2520",.1652339
"A44C","1912",.0549178
"A44C","2696",.9211373
