isic_rev3_3,cpc4,probability_weight
"011","A01H",.0562901
"011","A23B",.0438472
"011","A23F",.304758
"011","A23L",.3377538
"011","A23V",.1278657
"011","C13B",.0327514
"011","Y02W",.0967338
"012","A01K",.5541931
"012","A01L",.0037721
"012","A01M",.0756679
"012","A61D",.0298801
"012","A61K",.095985
"012","C12N",.2147899
"012","Y02W",.025712
"013","A01C",.9251173
"013","C05F",.0748827
"014","A01D",.0454477
"014","A01G",.5681779
"014","A01H",.2177074
"014","A01M",.0497131
"014","A01N",.0825858
"014","F25C",.0280282
"014","Y02C",.00834
"015","A01M",1
"020","G01V",1
"050","A01K",.9383149
"050","Y02W",.0616851
"101","B03B",.2892816
"101","B03D",.2486554
"101","C10B",.0610072
"101","C10G",.0411515
"101","C10J",.1639334
"101","C10K",.0286312
"101","C10L",.1673398
"102","C10F",1
"103","B07B",.3725342
"103","C05F",.5619798
"103","C10G",.065486
"111","C10G",.9381865
"111","F25J",.0618135
"112","E21B",.9183007
"112","F04B",.0816993
"120","C22B",.8524975
"120","E21B",.072956
"120","G01T",.0660141
"120","G21F",.0085324
"131","B03B",.2221212
"131","C21B",.1875676
"131","C22B",.2657178
"131","F27B",.019175
"131","Y02W",.3054184
"132","C22B",.8553551
"132","Y02W",.144645
"141","B03B",.0600348
"141","B09B",.0396826
"141","B09C",.0294984
"141","B28D",.0260334
"141","C02F",.0269386
"141","C04B",.1129897
"141","C05D",.0343238
"141","C05G",.0060592
"141","C07G",.015543
"141","C10G",.0551819
"141","C12F",.0235558
"141","C22B",.0283666
"141","E21C",.5417923
"142","B03D",.0694783
"142","C07C",.0433066
"142","C07K",.0295856
"142","C08H",.0023787
"142","C10C",.0530909
"142","C10G",.6438057
"142","C11B",.0089082
"142","C12P",.0246134
"142","C12R",.0070034
"142","C22B",.0607465
"142","E21B",.0570826
"151","A01H",.3573636
"151","A22B",.0346988
"151","A22C",.2873122
"151","A23B",.07618
"151","A23D",.0204198
"151","A23K",.0237664
"151","A23L",.1607842
"151","A23N",.0376495
"151","G10L",.0018256
"152","A01J",.2647412
"152","A23C",.6043243
"152","A23G",.0728799
"152","A23J",.0220166
"152","A23L",.0266995
"152","A23Y",.0093383
"153","A01H",.1983846
"153","A21C",.1428481
"153","A21D",.2711787
"153","A23K",.0327607
"153","A23L",.2011203
"153","A23P",.0076878
"153","B02B",.0340201
"153","C08B",.0312753
"153","C12N",.0483013
"153","C12Q",.0126952
"153","C12Y",.0080831
"153","C13K",.0116449
"154","A21B",.0400024
"154","A21C",.0513773
"154","A21D",.126297
"154","A23F",.0265254
"154","A23G",.4296684
"154","A23L",.1015724
"154","C07H",.0291326
"154","C12J",.0050206
"154","C12N",.0570579
"154","C12P",.0376522
"154","C13B",.0956938
"155","B65D",.0353814
"155","B67B",.0185729
"155","B67C",.0137008
"155","B67D",.1602288
"155","C12C",.2353921
"155","C12G",.2948655
"155","C12H",.2345744
"155","C12L",.007284
"160","A24B",.1649575
"160","A24C",.0253252
"160","A24F",.7911196
"160","F23Q",.0185977
"171","D01G",.0332898
"171","D01H",.0473035
"171","D02G",.3665169
"171","D06B",.2665828
"171","D06C",.0309469
"171","D06J",.0119522
"171","D06L",.0335876
"171","D06P",.2086988
"171","F17B",.0011215
"172","A47G",.1569485
"172","A47H",.0279243
"172","A47L",.0588882
"172","B41F",.3306215
"172","B41G",.003493
"172","B41N",.0865959
"172","B41P",.0635678
"172","B68C",.007354
"172","D04G",.0025896
"172","D05C",.0306876
"172","D06B",.037904
"172","D06G",.0082231
"172","D06N",.1509707
"172","G21B",.0056039
"172","Y10T",.028628
"173","A41C",.0193069
"173","A41D",.0887067
"173","A44D",.0001519
"173","A45B",.0044127
"173","D02H",.0012048
"173","D03D",.0934423
"173","D04B",.1667922
"173","D04C",.0016983
"173","D04D",.001628
"173","D04H",.1163977
"173","D05B",.0559059
"173","D05D",.0101718
"173","D06B",.0969446
"173","D06C",.058948
"173","D06H",.0181764
"173","D06M",.0691697
"173","D06P",.0363411
"173","D06Q",.0058026
"173","D10B",.1127562
"173","Y10T",.042042
"181","A41B",.0852243
"181","A41D",.6823159
"181","A41F",.0227607
"181","A42B",.1115844
"181","A42C",.0016168
"181","A43B",.0564618
"181","C14B",.0057277
"181","C14C",.0027236
"181","D01C",.0007144
"181","D06N",.0308703
"182","A41D",.0842912
"182","A41H",.9157088
"191","A01K",.0232122
"191","A44C",.0041971
"191","A45C",.4968715
"191","A45F",.0976986
"191","A62B",.163061
"191","B60N",.0244707
"191","B60R",.109186
"191","B62C",.0114119
"191","B68B",.0300885
"191","D03C",.0252994
"191","D03J",.0064064
"191","G10G",.0080967
"192","A43B",.8245088
"192","A43C",.1157426
"192","A43D",.0597486
"201","B27B",.5200067
"201","B27G",.0332435
"201","B27L",.1598689
"201","B27N",.1821208
"201","D21B",.1047602
"202","A63D",.0011066
"202","B27B",.0293425
"202","B27C",.0204989
"202","B27D",.1344298
"202","B27F",.0052365
"202","B27G",.0354345
"202","B27H",.0191031
"202","B27J",.0008675
"202","B27K",.0134545
"202","B27L",.2695376
"202","B27M",.0716407
"202","B27N",.0991817
"202","B44F",.0016274
"202","D01B",.0007026
"202","E04B",.0438412
"202","E04C",.0417865
"202","E04F",.0718953
"202","E06B",.0583333
"202","F16S",.0007681
"202","F24B",.01844
"202","G10B",.0034789
"202","G10C",.008463
"202","G10D",.0508298
"210","A24D",.0186863
"210","A47K",.0415094
"210","B26F",.0030875
"210","B31C",.0009705
"210","B31D",.0022167
"210","B31F",.0125784
"210","B41J",.1874849
"210","B41L",.0115728
"210","B41M",.0287135
"210","B42F",.0178023
"210","B42P",.0009729
"210","B43M",.0023419
"210","B65H",.202384
"210","D21C",.07855
"210","D21D",.0311382
"210","D21F",.1379968
"210","D21G",.0298858
"210","D21H",.1862339
"210","D21J",.0055915
"210","G09D",.0002826
"221","G06F",.0479471
"221","G06Q",.0259776
"221","G06T",.297684
"221","G09B",.0776764
"221","G10H",.2917347
"221","H04L",.1921057
"221","H04M",.0668745
"222","B41B",.0003274
"222","B41C",.5839413
"222","B41F",.1294195
"222","B41K",.0039933
"222","B41N",.1356503
"222","B41P",.0284212
"222","B42B",.0133913
"222","B42C",.0269228
"222","G03F",.0779328
"223","G11B",.1063886
"223","H04N",.8936114
"231","C10B",.9312324
"231","C10G",.0687676
"232","B01J",.0457531
"232","C06F",.0032824
"232","C07C",.070396
"232","C10G",.4618161
"232","C10L",.3572124
"232","C11C",.0060469
"232","F25J",.0250378
"232","Y02T",.0304553
"233","C01F",.0075369
"233","C01G",.6228703
"233","C01P",.0240628
"233","Y02E",.266791
"233","Y02W",.078739
"241","A61K",.0428015
"241","A61L",.018414
"241","A61Q",.0134644
"241","A62D",.0021443
"241","B01J",.0507678
"241","C01C",.002538
"241","C05B",.0030728
"241","C05C",.0032887
"241","C06D",.0004656
"241","C07B",.0019243
"241","C07C",.1030774
"241","C07D",.0328834
"241","C07F",.0197521
"241","C08F",.1485288
"241","C08G",.1708235
"241","C08J",.0568892
"241","C08K",.0618011
"241","C08L",.1356763
"241","C09D",.0497566
"241","C09G",.0033629
"241","C09K",.0301558
"241","C10M",.0146766
"241","C10N",.0048783
"241","C40B",.0005267
"241","G03C",.013922
"241","G03G",.014052
"241","G21K",.0003557
"242","A61K",.4757124
"242","B05C",.0094564
"242","B44D",.0072531
"242","B65C",.0025125
"242","C06B",.008345
"242","C06C",.0027672
"242","C07D",.2733789
"242","C07J",.0068782
"242","C07K",.0743086
"242","C09F",.0001305
"242","C09J",.0340011
"242","C11D",.0611197
"242","C12N",.0256704
"242","F42C",.0101055
"242","F42D",.0083461
"242","G21J",.0000143
"243","A41G",.0113513
"243","A44B",.007587
"243","A46D",.0132499
"243","C09B",.0184202
"243","D01D",.0465552
"243","D01F",.0283947
"243","D02G",.1401382
"243","D02J",.3509996
"243","D06M",.0430692
"243","D06P",.0237991
"243","D07B",.3164355
"251","B29D",.0543022
"251","B60C",.9009192
"251","F16G",.015656
"251","F16L",.0291226
"252","B01L",.0028585
"252","B29B",.0106585
"252","B29C",.3117127
"252","B29K",.0146237
"252","B29L",.0360066
"252","B31B",.0397546
"252","B65B",.0469313
"252","B65D",.337698
"252","E06B",.0508855
"252","F16B",.0072475
"252","F16L",.1016872
"252","G10F",.0005523
"252","G10K",.0017621
"252","Y10T",.0376216
"261","B32B",.0126962
"261","C03B",.4427219
"261","C03C",.3716121
"261","E06B",.0351486
"261","G02B",.0577775
"261","G02C",.0025749
"261","G02F",.0356044
"261","H01J",.0418646
"269","B06B",.0017445
"269","B28B",.09166
"269","B28C",.0239382
"269","C04B",.3992572
"269","E01C",.0588163
"269","E02D",.0443529
"269","E04B",.1299203
"269","E04C",.0577631
"269","E04F",.0332711
"269","E04G",.0703081
"269","E04H",.0267494
"269","H01C",.0049339
"269","H01G",.015902
"269","H01P",.0052827
"269","Y02W",.0361002
"271","B21B",.04728
"271","B22D",.0410082
"271","B23K",.0396589
"271","C21B",.077868
"271","C21C",.0715482
"271","C21D",.2476304
"271","C22B",.0266531
"271","C22C",.3097551
