isic_rev3_3,cpc3,probability_weight
"011","A01",.0552268
"011","A23",.8146776
"011","C13",.0504602
"011","Y02",.0796354
"012","A01",.38083
"012","A61",.1475678
"012","C12",.4386902
"012","Y02",.0329121
"013","A01",.7604732
"013","C05",.2395268
"014","A01",.9761418
"014","Y02",.0238582
"015","A01",1
"020","B06",.00819
"020","G01",.8245709
"020","G06",.1672391
"050","A01",.7473868
"050","A22",.0632588
"050","A23",.0491766
"050","C02",.0283878
"050","Y02",.11179
"101","B03",.6122761
"101","C10",.3423851
"101","Y02",.0453388
"102","B09",.2656448
"102","C02",.5986732
"102","C10",.135682
"103","B07",.6109353
"103","C05",.3354156
"103","C10",.0536491
"111","B01",.0519231
"111","C10",.8825893
"111","E21",.03673
"111","F25",.0287576
"112","E21",.9236853
"112","F04",.0763147
"120","C22",.8090917
"120","E21",.1909083
"131","B03",.2670078
"131","C21",.1861758
"131","C22",.2852722
"131","F27",.0618284
"131","Y02",.1997159
"132","C22",.906994
"132","Y02",.093006
"141","B03",.0665024
"141","B09",.1625641
"141","B28",.034812
"141","C02",.0640549
"141","C04",.2686684
"141","C05",.0276925
"141","C10",.0585138
"141","C22",.0228216
"141","E02",.0309129
"141","E21",.2634575
"142","B01",.0560257
"142","B03",.1032994
"142","C07",.1934913
"142","C10",.409943
"142","C12",.0762167
"142","C22",.0405086
"142","E21",.1205154
"151","A01",.19741
"151","A22",.452241
"151","A23",.3503489
"152","A01",.0463705
"152","A23",.9536295
"153","A01",.114372
"153","A21",.5099011
"153","A23",.2735443
"153","C12",.1021826
"154","A21",.267865
"154","A23",.4761451
"154","C12",.1417612
"154","C13",.1142288
"155","B65",.0526585
"155","B67",.619256
"155","C12",.2963545
"155","F25",.0317309
"160","A24",1
"171","D01",.0941116
"171","D02",.5021833
"171","D06",.4037052
"172","A41",.0305663
"172","A47",.1872805
"172","B41",.3922572
"172","D04",.0344213
"172","D05",.0477247
"172","D06",.2183207
"172","Y10",.0894293
"173","A41",.1470153
"173","D01",.036536
"173","D03",.0926851
"173","D04",.2714827
"173","D05",.0804336
"173","D06",.2197643
"173","D10",.1084204
"173","Y10",.0436626
"181","A41",.8024909
"181","A42",.1269379
"181","A43",.0626222
"181","C14",.0079489
"182","A41",1
"191","A44",.0135376
"191","A45",.6368748
"191","A62",.1384557
"191","B60",.1277211
"191","B62",.0318177
"191","B68",.02355
"191","D03",.0280432
"192","A43",1
"201","B27",.9703607
"201","D21",.0296393
"202","B27",.6892128
"202","E04",.2023928
"202","E06",.0707039
"202","G10",.0376905
"210","A24",.0223922
"210","B41",.2316181
"210","B42",.0461023
"210","B65",.1368476
"210","D21",.5630398
"221","G06",.4718874
"221","G09",.0392722
"221","G10",.1215655
"221","H04",.367275
"222","B41",.8163648
"222","B42",.084234
"222","G03",.0994012
"223","G11",.1712603
"223","H04",.8287397
"231","C10",1
"232","B01",.056553
"232","C07",.0541862
"232","C10",.8098643
"232","F02",.0554414
"232","Y02",.023955
"233","B01",.0341265
"233","C01",.3742205
"233","G01",.0225593
"233","Y02",.5690936
"241","A61",.0500672
"241","B01",.0662928
"241","C01",.0257436
"241","C07",.1337185
"241","C08",.557384
"241","C09",.1021439
"241","C40",.0005044
"241","G03",.030774
"241","H01",.0333716
"242","A61",.4268473
"242","B05",.0230883
"242","B44",.0090881
"242","C06",.0127709
"242","C07",.3588049
"242","C09",.0252587
"242","C11",.0745457
"242","C12",.0296344
"242","F42",.0399617
"243","D01",.0693139
"243","D02",.4407376
"243","D06",.0582825
"243","D07",.4316659
"251","B29",.1922519
"251","B60",.548923
"251","C08",.0326581
"251","D07",.0440732
"251","F16",.0958884
"251","Y02",.0256961
"251","Y10",.0605094
"252","A45",.0401828
"252","B29",.4490792
"252","B31",.0381945
"252","B60",.0239582
"252","B65",.2781597
"252","E06",.0628382
"252","F16",.0422272
"252","Y10",.0653602
"261","B32",.0127737
"261","C03",.8170831
"261","E06",.0336519
"261","G02",.0961272
"261","H01",.0403641
"269","B28",.1123188
"269","C04",.383682
"269","E01",.0707
"269","E02",.0464749
"269","E04",.3090058
"269","H01",.0268567
"269","Y02",.027513
"269","Y10",.0234489
"271","B21",.0519288
"271","B22",.0507375
"271","B23",.0293422
"271","C21",.4142554
"271","C22",.3126766
"271","C23",.0525284
"271","E04",.0291578
"271","Y02",.0593734
"272","B22",.0716964
"272","B23",.0350466
"272","C04",.0344232
"272","C22",.2323243
"272","C23",.2401378
"272","C25",.2591588
"272","Y02",.0628431
"272","Y10",.0643698
"273","B21",.0375231
"273","B22",.4857641
"273","C21",.2477666
"273","C22",.2289462
"281","E06",.0265858
"281","F22",.8426093
"281","H01",.0505765
"281","Y02",.0802283
"289","B21",.0751322
"289","B22",.0458235
"289","B23",.1317477
"289","B25",.0417639
"289","B26",.2312123
"289","C23",.0952525
"289","C25",.0552476
"289","H01",.1982805
"289","H05",.0307904
"289","Y10",.0947493
"291","B04",.011493
"291","B30",.0047374
"291","B60",.0446823
"291","B65",.0668216
"291","B66",.0506862
"291","F01",.1187742
"291","F02",.2239733
"291","F04",.0610492
"291","F05",.0318995
"291","F15",.0200348
"291","F16",.2644519
"291","Y02",.0604083
"291","Y10",.0409883
"292","A01",.1814934
"292","B23",.1385179
"292","B24",.0424059
"292","B25",.0276341
"292","B33",.00002
"292","B41",.0310389
"292","D01",.0372695
"292","D04",.0564843
"292","F41",.4108171
"292","F42",.0316693
"292","Y10",.0426497
"293","A47",.255543
"293","D06",.139917
"293","F24",.1087186
"293","F25",.399457
"293","H05",.0237736
"293","Y02",.0725908
"300","G06",.7751353
"300","G11",.0677075
"300","H04",.1571571
"311","H02",1
"312","H01",.9241003
"312","H02",.0758997
"313","G02",.9779195
"313","H01",.0220804
"314","B60",.0291679
"314","H01",.3116698
"314","H02",.2623123
"314","Y02",.3968499
"315","F21",1
"319","F02",.9404296
"319","H01",.0595704
"321","G06",.0238983
"321","G09",.0936285
"321","G11",.0380777
"321","H01",.5735514
"321","H03",.0579894
"321","H05",.2128547
"322","G01",.0362989
"322","G08",.0595345
"322","H04",.9041666
"323","H04",1
"331","A61",.3380853
"331","G01",.4338669
"331","G05",.0408551
"331","H02",.0331668
"331","H03",.0747836
"331","H04",.0518439
"331","Y02",.0273983
"332","A61",.0228857
"332","B82",.0074613
"332","F21",.0790169
"332","G01",.1184562
"332","G03",.4394805
"332","G11",.0467936
"332","H01",.0412635
"332","H04",.2446423
"333","G04",.2152745
"333","G06",.0611792
"333","G09",.0245147
"333","G11",.125985
"333","H03",.4194331
"333","H04",.1536135
"341","B60",.816447
"341","B62",.1113051
"341","E05",.0400284
"341","F16",.0322195
"342","B60",.7351588
"342","B62",.2648412
"343","B60",.7880183
"343","B62",.027749
"343","E05",.11003
"343","F16",.0742027
"351","B63",1
"352","B61",.9211798
"352","E01",.0788202
"353","B64",1
"359","B62",1
"361","A47",1
"369","A63",.9722399
"369","B43",.0227762
"369","C30",.0049838
"371","B02",.9455901
"371","C01",.0318381
"371","C04",.0225718
"372","A61",.0227786
"372","B01",.1128217
"372","B02",.0282889
"372","B03",.0723263
"372","B07",.3120433
"372","B09",.0373038
"372","B65",.0300129
"372","C01",.0232343
"372","C02",.1749976
"372","C10",.0310283
"372","F23",.1123946
"372","F26",.0206903
"372","Y10",.0220794
"401","F03",.0484108
"401","H02",.080089
"401","H04",.0727412
"401","Y02",.798759
"402","C01",.026774
"402","C10",.0504775
"402","F02",.0399885
"402","F17",.5368531
"402","F23",.1478323
"402","F25",.1645764
"402","Y02",.0334983
"403","C01",.0518743
"403","C10",.0458571
"403","F01",.0573843
"403","F22",.3001757
"403","F23",.0321537
"403","F24",.1452581
"403","F28",.0452233
"403","G21",.0237507
"403","Y02",.2983229
"410","B01",.1000087
"410","B08",.0332777
"410","B63",.0419217
"410","C01",.025521
"410","C02",.5389696
"410","C07",.0235673
"410","C08",.0257709
"410","E02",.0252854
"410","E03",.1463251
"410","Y10",.0393526
"451","B81",.0132384
"451","E02",.1894783
"451","H01",.7972834
"452","E01",.1358946
"452","E02",.0536752
"452","E04",.5954568
"452","H04",.0409512
"452","Y02",.1740222
"453","E04",.0478289
"453","H04",.5004951
"453","Y02",.4516759
"454","B60",.0646396
"454","E04",.1609885
"454","E05",.2935739
"454","E06",.3218648
"454","Y02",.100588
"454","Y10",.0583452
"455","B09",1
"501","B60",.0447888
"501","G05",.0524319
"501","G06",.9027793
"502","B25",.1396309
"502","B60",.5213339
"502","B62",.095458
"502","F16",.0251496
"502","G01",.0293061
"502","G07",.045505
"502","Y02",.1436165
"504","B25",.0479124
"504","B62",.7591715
"504","F02",.192916
"505","F17",.2203541
"505","G06",.2223266
"505","G07",.5573193
"511","G06",1
"512","A23",.8369258
"512","A47",.1630742
"513","G06",1
"514","A47",.5415729
"514","G06",.4584271
"515","G06",.9601814
"515","G09",.0398186
"519","G06",.9776785
"519","G09",.0223215
"521","A23",.0425391
"521","A45",.0227887
"521","A47",.8963776
"521","G07",.0382947
"522","A23",1
"523","G06",1
"526","G06",.8822305
"526","G07",.1177695
"551","A23",.0320798
"551","A47",.051088
"551","E04",.2625859
"551","E05",.1700324
"551","F24",.0520571
"551","F25",.0284116
"551","G05",.0283686
"551","G06",.030974
"551","G07",.2378082
"551","G08",.0596309
"551","G09",.0469635
"552","A47",.0591665
"552","E05",.1249782
"552","F21",.0225763
"552","G01",.0373396
"552","G07",.1203414
"552","G11",.635598
"602","B60",.0343175
"602","B61",.9656825
"603","B08",.0687978
"603","C10",.0757575
"603","E21",.1864776
"603","F17",.5916398
"603","F23",.0773274
"611","B63",.7146874
"611","E02",.1674237
"611","H01",.1178889
"621","B64",1
"622","B64",1
"630","G06",.8445954
"630","G07",.0233613
"630","G08",.1320433
"641","B42",.0290654
"641","G06",.0256417
"641","G07",.9452929
"642","H04",1
"651","B42",.241832
"651","G07",.4247004
"651","G09",.3334676
"659","G06",1
"660","G06",1
"671","G06",.8961566
"671","G07",.1038434
"672","G06",1
"701","G06",1
"702","G06",.9050591
"702","G07",.0949409
