cpc1,isic_rev3_2,probability_weight
"A","01",.0191636
"A","05",.0014136
"A","15",.3277833
"A","16",.0023097
"A","17",.0212144
"A","19",.0273706
"A","24",.2150969
"A","29",.035229
"A","33",.0663792
"A","36",.2143318
"A","80",.0000882
"A","85",.0240752
"A","92",.0433398
"A","93",.0019815
"A","95",.0002232
"B","21",.1065553
"B","22",.0145669
"B","24",.0867698
"B","25",.0876826
"B","26",.0299417
"B","28",.0701149
"B","29",.2625836
"B","34",.1603823
"B","35",.1457796
"B","37",.0001419
"B","41",.035167
"B","50",.0003069
"B","62",7.55e-06
"C","14",.0008897
"C","15",.0206314
"C","23",.019786
"C","24",.7377833
"C","26",.0714973
"C","27",.0588926
"C","41",.0887556
"C","90",.0017641
"D","17",.6150333
"D","18",.0038897
"D","21",.319073
"D","24",.0276228
"D","29",.0343813
"E","11",.0224132
"E","12",.0001165
"E","20",.0351296
"E","26",.5941281
"E","27",.0562969
"E","29",.0798883
"E","41",.1584687
"E","45",.0453683
"E","55",.0073576
"E","60",.0006886
"E","61",.0001442
"F","29",.9093089
"F","40",.061133
"F","41",.0295581
"G","02",.0137937
"G","30",.4263028
"G","32",.0569819
"G","33",.3625411
"G","51",.01033
"G","52",.0035206
"G","63",.0004242
"G","65",.0009092
"G","66",.0012927
"G","67",.0047401
"G","70",.0000616
"G","72",.0963093
"G","74",.0227756
"G","99",.0000174
"H","26",.0323141
"H","28",.0401771
"H","30",.0604806
"H","31",.1237026
"H","32",.4346421
"H","33",.2067096
"H","45",.0669293
"H","64",.0129361
"H","72",.0210812
"H","75",.0010273
"Y","10",.0004439
"Y","13",.0008419
"Y","17",.0257675
"Y","24",.0257377
"Y","25",.0360371
"Y","26",.1069049
"Y","27",.1367903
"Y","28",.0562404
"Y","29",.2620367
"Y","31",.1757433
"Y","34",.0230092
"Y","40",.1244419
"Y","41",.0259668
"Y","73",8.06e-06
"Y","91",.0000305
