isic_rev3_1,cpc4,probability_weight
"A","A01G",.0947779
"A","A01H",.0620313
"A","A01M",.1510061
"A","A23F",.0538664
"A","A23L",.0603581
"A","A23V",.0226852
"A","G01V",.5299654
"A","Y02W",.0253096
"B","A01K",.9383149
"B","Y02W",.0616851
"C","B03B",.0292676
"C","B03D",.024555
"C","C10G",.1403985
"C","C22B",.0979586
"C","E21B",.6621055
"C","F04B",.0457148
"D","A61K",.2049026
"D","G06F",.1710138
"D","H01L",.2283549
"D","Y02E",.1966435
"D","Y10T",.1990851
"E","A01G",.0347514
"E","B01D",.0820996
"E","B08B",.0338639
"E","C01B",.0462774
"E","C02F",.5699263
"E","C07C",.0331086
"E","E02B",.0357148
"E","E03C",.0519116
"E","E03D",.0650006
"E","F22B",.0473456
"F","E02D",.0482274
"F","E02F",.1055126
"F","H01L",.84626
"Other","A63B",.2344981
"Other","A63F",.0229994
"Other","G06F",.279614
"Other","G06Q",.2378061
"Other","G07F",.0494184
"Other","H04L",.085194
"Other","H04N",.0264475
"Other","H04W",.0640226
