cpc1,isic_rev3_3,probability_weight
"A","011",.0085058
"A","012",.0008864
"A","013",6.56e-06
"A","014",.0064817
"A","015",.0029312
"A","050",.0013403
"A","151",.1055148
"A","152",.0602774
"A","153",.0952388
"A","154",.0603344
"A","160",.0021899
"A","182",5.94e-06
"A","191",.0086717
"A","192",.0186792
"A","241",.0486362
"A","242",.2190561
"A","331",.0838228
"A","361",.1095591
"A","369",.0941315
"A","512",8.90e-06
"A","521",.0001487
"A","522",5.94e-06
"A","801",3.30e-06
"A","802",.000043
"A","809",.000043
"A","851",.022693
"A","853",.0001444
"A","923",.0000379
"A","924",.0485117
"A","930",.0018787
"A","950",.0002116
"B","155",.0036664
"B","210",.1086481
"B","222",.0149535
"B","241",.0591497
"B","242",.0291146
"B","251",.0268476
"B","252",.0625592
"B","289",.0722561
"B","291",.2053761
"B","292",.075516
"B","341",.0852655
"B","342",.0589206
"B","343",.0235784
"B","351",.0362959
"B","353",.0393283
"B","359",.0619746
"B","372",.0001368
"B","410",.0358577
"B","455",1.44e-06
"B","502",.0002487
"B","504",.0001059
"B","602",.0001911
"B","621",3.85e-06
"B","622",3.85e-06
"C","102",.0000127
"C","103",8.31e-06
"C","111",.0002246
"C","142",.0007774
"C","231",.009805
"C","232",.011615
"C","241",.6202505
"C","242",.1468654
"C","261",.0468147
"C","269",.0297659
"C","271",.0402816
"C","273",.0021199
"C","371",.000011
"C","410",.0896657
"C","900",.0017821
"D","171",.110817
"D","172",.0190185
"D","173",.4622028
"D","181",.0034853
"D","201",.001109
"D","210",.2857387
"D","241",.0252556
"D","243",.0165712
"D","292",.0468092
"D","293",.0289925
"E","112",.0237539
"E","120",.0000997
"E","141",.000293
"E","202",.033361
"E","261",.0278446
"E","269",.5957493
"E","271",.0546094
"E","291",.0502173
"E","352",.0285782
"E","410",.1356273
"E","451",.0290898
"E","452",.0105698
"E","454",.0040638
"E","551",.0054829
"E","603",.0005365
"E","611",.0001234
"F","291",.8175
"F","292",.0243722
"F","293",.0318988
"F","315",.0140614
"F","319",.0275997
"F","402",.0156604
"F","403",.0422678
"F","410",.0266398
"G","020",.0136428
"G","221",.0000642
"G","300",.4216407
"G","313",.003994
"G","321",.0533394
"G","331",.129631
"G","332",.1519642
"G","333",.0836097
"G","501",.0000497
"G","505",.0001047
"G","511",.0101111
"G","513",9.45e-06
"G","514",5.63e-06
"G","515",.0000439
"G","519",.0000581
"G","523",9.45e-06
"G","526",.0035539
"G","552",.0028416
"G","630",.0004195
"G","641",.0006002
"G","651",.0000189
"G","659",.0008811
"G","660",.0012785
"G","671",.004108
"G","672",.0005804
"G","701",9.45e-06
"G","702",.0000515
"G","722",.0919163
"G","724",.0016987
"G","725",.0000605
"G","729",.0006599
"G","741",.0153779
"G","742",.0022897
"G","743",.0006696
"G","749",.0041893
"G","751",.0002058
"G","753",.0002865
"G","803",7.56e-06
"G","990",.0000172
"H","223",6.57e-06
"H","289",.0390451
"H","300",.0618549
"H","311",.0079522
"H","312",.0173294
"H","314",.1000154
"H","321",.3703477
"H","322",.0031988
"H","323",.0724665
"H","331",.056777
"H","332",.0845655
"H","333",.0886226
"H","451",.0718665
"H","642",.0138503
"H","723",.0019465
"H","752",.0013159
"H","921",.0088128
"H","922",.0000264
"Y","101",.0004618
"Y","131",.0000921
"Y","132",.0007849
"Y","233",.0171851
"Y","241",.0302102
"Y","252",.0257618
"Y","261",.0465274
"Y","269",.0649566
"Y","271",.0909079
"Y","272",.0533617
"Y","281",.0109603
"Y","289",.0494804
"Y","291",.2125165
"Y","293",.0485937
"Y","314",.1910731
"Y","401",.0167442
"Y","403",.1114845
"Y","410",.0270233
"Y","453",.0018343
"Y","731",8.39e-06
"Y","911",.0000317
