cpc3,isic_rev3_1,probability_weight
"A01","A",.4446066
"A01","B",.0627765
"A01","D",.4670833
"A01","E",.0255335
"A21","D",1
"A22","B",.0835265
"A22","D",.9164735
"A23","A",.2986945
"A23","D",.5227514
"A23","E",.1785541
"A24","D",1
"A41","D",.9708717
"A41","Other",.0291283
"A42","D",.2284549
"A42","Other",.7715452
"A43","D",.9714622
"A43","Other",.0285378
"A44","D",1
"A45","D",.9448836
"A45","Other",.0551163
"A46","D",.9536697
"A46","Other",.0463303
"A47","D",1
"A61","D",1
"A62","D",.9053396
"A62","E",.0946604
"A63","D",.2102652
"A63","Other",.7897347
"B01","D",.4007522
"B01","E",.5992478
"B02","A",.0564488
"B02","D",.9435512
"B03","C",.1963438
"B03","D",.1262156
"B03","E",.6774406
"B04","D",.8656656
"B04","E",.1343344
"B05","D",.5361076
"B05","E",.4638924
"B06","A",.17312
"B06","D",.8268799
"B07","D",1
"B08","D",.0763632
"B08","E",.9236368
"B09","D",.2284806
"B09","E",.2545654
"B09","F",.5169539
"B21","D",1
"B22","D",1
"B23","D",1
"B24","D",1
"B25","D",1
"B26","D",1
"B27","D",.9688272
"B27","E",.0311727
"B28","D",1
"B29","D",1
"B30","D",1
"B31","D",1
"B32","D",1
"B33","D",.9048728
"B33","Other",.0951272
"B41","D",1
"B42","D",1
"B43","D",1
"B44","D",1
"B60","D",1
"B61","D",1
"B62","D",1
"B63","D",.2675591
"B63","E",.732441
"B64","D",1
"B65","D",1
"B66","D",1
"B67","D",.4491839
"B67","E",.5508161
"B68","D",1
"B81","D",.2780936
"B81","F",.7219064
"B82","D",1
"C01","D",.2510556
"C01","E",.7489445
"C02","E",1
"C03","D",1
"C04","D",1
"C05","A",.0787203
"C05","D",.6313083
"C05","E",.2899714
"C06","D",1
"C07","D",.8520876
"C07","E",.1479124
"C08","D",.8768219
"C08","E",.1231782
"C09","D",1
"C10","C",.1240383
"C10","D",.7042012
"C10","E",.1717605
"C11","D",1
"C12","A",.0583553
"C12","D",.7926073
"C12","E",.1490373
"C13","A",.4725745
"C13","D",.4746735
"C13","E",.052752
"C14","D",1
"C21","D",1
"C22","C",.0602741
"C22","D",.9397259
"C23","D",1
"C25","D",1
"C30","D",1
"C40","D",1
"D01","D",1
"D02","D",1
"D03","D",1
"D04","D",1
"D05","D",1
"D06","D",1
"D07","A",.0389534
"D07","B",.0457438
"D07","D",.9153028
"D10","D",1
"D21","D",1
"E01","D",.9415977
"E01","F",.0584023
"E02","D",.088021
"E02","E",.2810929
"E02","F",.6308861
"E03","E",1
"E04","D",.9649777
"E04","F",.0350222
"E05","D",1
"E06","D",1
"E21","C",.4493297
"E21","D",.1831926
"E21","E",.3674776
"F01","D",.7482363
"F01","E",.2517637
"F02","D",.9203537
"F02","E",.0796463
"F03","D",.3349305
"F03","E",.6650695
"F04","C",.0658923
"F04","D",.7780009
"F04","E",.1561068
"F05","D",.829189
"F05","E",.170811
"F15","D",1
"F16","D",.9701533
"F16","E",.0298467
"F17","D",.3085751
"F17","E",.6914249
"F21","D",1
"F22","D",.0269491
"F22","E",.9730509
"F23","D",.735746
"F23","E",.264254
"F24","D",.6208001
"F24","E",.3791999
"F25","D",.4313024
"F25","E",.5686977
"F26","D",.310442
"F26","E",.689558
"F27","D",1
"F28","D",.7152008
"F28","E",.2847992
"F41","D",1
"F42","D",1
"G01","A",.0467537
"G01","D",.9087793
"G01","E",.044467
"G02","D",1
"G03","D",1
"G04","D",1
"G05","D",.7866549
"G05","E",.0936481
"G05","Other",.1196971
"G06","D",.3124769
"G06","Other",.6875231
"G07","D",.2307832
"G07","Other",.7692168
"G08","D",.8049858
"G08","Other",.1950143
"G09","D",.9057589
"G09","Other",.0942411
"G10","D",1
"G11","D",.9207515
"G11","Other",.0792486
"G12","D",.9589113
"G12","E",.0410887
"G21","D",.4896052
"G21","E",.5103948
"H01","D",.6166217
"H01","F",.3833783
"H02","D",1
"H03","D",1
"H04","D",.5645773
"H04","Other",.4354227
"H05","D",1
"Y02","D",.9186485
"Y02","E",.0813515
"Y04","D",.7768425
"Y04","Other",.2231575
"Y10","D",.79817
"Y10","E",.20183
