cpc2,isic_rev3_4,probability_weight
"A0","0122",.0013173
"A0","0130",.0000839
"A0","0140",.0717638
"A0","0150",.0370147
"A0","0500",.0074129
"A0","1513",.138473
"A0","1531",.0950239
"A0","1533",.0045371
"A0","2421",.2087482
"A0","2921",.4351719
"A0","8532",.0003477
"A0","9232",.0001056
"A2","0111",.0085447
"A2","0112",.0042747
"A2","0113",.0228728
"A2","1511",.2000803
"A2","1512",.0027471
"A2","1513",.0536677
"A2","1514",.0145349
"A2","1520",.1882444
"A2","1531",.2226258
"A2","1532",.0316894
"A2","1541",.0573683
"A2","1542",.0419239
"A2","1543",.1161431
"A2","1544",.0186541
"A2","1600",.0165542
"A2","5122",.0000299
"A2","5220",.0000449
"A4","1730",.0515409
"A4","1810",.0177862
"A4","1820",.0000528
"A4","1920",.1248357
"A4","2925",.0115269
"A4","2930",.1214831
"A4","3610",.6434962
"A4","3699",.0243085
"A4","5142",.0000352
"A4","5143",.0000176
"A4","5211",.0009452
"A4","8010",.0000293
"A4","8022",.0003828
"A4","8090",.0003828
"A4","9302",.0031771
"A6","2413",.0374534
"A6","2423",.3787161
"A6","3311",.2699474
"A6","3693",.0898845
"A6","3694",.1061039
"A6","8512",.0368258
"A6","8519",.0029498
"A6","9219",.0007963
"A6","9241",.075331
"A6","9303",.0000282
"A6","9309",.0019635
"B0","1030",.0000748
"B0","2411",.1796609
"B0","2412",.0467465
"B0","2413",.0674887
"B0","2422",.1045472
"B0","2915",.0247689
"B0","2919",.0549125
"B0","3710",.000166
"B0","3720",.0011709
"B0","4100",.4832127
"B0","4550",.0000317
"B0","9000",.0372192
"B2","2010",.0074722
"B2","2023",.0012258
"B2","2413",.0370792
"B2","2520",.0832461
"B2","2696",.0027325
"B2","2710",.0942154
"B2","2720",.0249702
"B2","2732",.0053561
"B2","2812",.0020531
"B2","2891",.045353
"B2","2892",.0436895
"B2","2893",.2543194
"B2","2911",.0358367
"B2","2913",.0379914
"B2","2915",.0262795
"B2","2922",.1700385
"B2","2923",.0207765
"B2","2926",.0809856
"B2","2929",.0263793
"B3","1730",.0883243
"B3","2021",.0133364
"B3","2101",.1426308
"B3","2109",.0253261
"B3","2413",.2100232
"B3","2429",.3441503
"B3","2520",.0902264
"B3","2610",.0859826
"B4","1721",.0626798
"B4","2101",.2611044
"B4","2109",.26546
"B4","2221",.0205944
"B4","2222",.241025
"B4","2422",.0332306
"B4","2429",.0216892
"B4","2929",.0938872
"B4","6519",.0000237
"B4","7250",.0003057
"B6","1912",.0179612
"B6","2101",.0294439
"B6","2511",.0340824
"B6","2520",.0323887
"B6","2913",.068444
"B6","2915",.1896047
"B6","3410",.1558165
"B6","3420",.1158399
"B6","3430",.0466377
"B6","3511",.0062614
"B6","3512",.068382
"B6","3520",.0314648
"B6","3530",.0767483
"B6","3591",.0317952
"B6","3592",.087475
"B6","3599",.0074758
"B6","6021",.0001623
"B6","6210",8.15e-06
"B6","6220",8.15e-06
"B8","2411",.1580943
"B8","2413",.1153087
"B8","2610",.0430138
"B8","2891",.1122765
"B8","2892",.0234318
"B8","3210",.0660597
"B8","3311",.0255641
"B8","3312",.1181986
"B8","3320",.2931988
"B8","4510",.0448537
"C0","1421",8.39e-06
"C0","2411",.1965758
"C0","2412",.0528743
"C0","2413",.414706
"C0","2423",.1320533
"C0","2610",.0623746
"C0","2691",.0001415
"C0","2694",.0220448
"C0","4100",.1186908
"C0","8511",.0005306
"C1","0121",.0006876
"C1","1010",.0019971
"C1","1020",.0000244
"C1","1110",.0029772
"C1","1422",.0008006
"C1","1532",.0390024
"C1","1542",.0432337
"C1","1549",.0687292
"C1","1552",.0113913
"C1","1553",.0154556
"C1","2310",.1554634
"C1","2320",.0735644
"C1","2411",.0820544
"C1","2413",.0317211
"C1","2423",.0310324
"C1","2424",.4418655
"C2","1320",.002914
"C2","2411",.0356978
"C2","2710",.5664831
"C2","2720",.2060495
"C2","2731",.0275367
"C2","2891",.0271622
"C2","2892",.0789228
"C2","2914",.0552339
"C3","2411",.0834728
"C3","2914",.2615274
"C3","3691",.6549998
"C4","2411",.7093155
"C4","2413",.0441576
"C4","2423",.2115609
"C4","3000",.0349659
"D0","1711",.0720941
"D0","1712",.0956144
"D0","1722",.0268463
"D0","1723",.0072375
"D0","1729",.004208
"D0","1730",.6309131
"D0","1911",.0019299
"D0","2430",.0231399
"D0","2926",.0948886
"D0","2930",.0431283
"D1","1730",1
"D2","2101",.8970916
"D2","2109",.0294256
"D2","2929",.0734827
"E0","2022",.0077666
"E0","2029",.0220831
"E0","2610",.0274018
"E0","2695",.6980649
"E0","2699",.037994
"E0","2710",.0397058
"E0","2811",.0104377
"E0","3520",.0278049
"E0","4100",.083027
"E0","4510",.0251145
"E0","4520",.0108236
"E0","4540",.0041614
"E0","5510",.0056146
"E2","1120",.2798861
"E2","1200",.0011748
"E2","1410",.002027
"E2","1429",.0067328
"E2","2694",.0635798
"E2","2695",.0252675
"E2","2911",.0940192
"E2","2915",.0478131
"E2","2922",.0267948
"E2","2924",.3416545
"E2","4030",.022481
"E2","4100",.0822119
"E2","6023",.0003917
"E2","6030",.0059658
"F0","2911",.8030019
"F0","2912",.0630814
"F0","2913",.0680483
"F0","3190",.0657011
"F0","5040",.0001673
"F1","2519",.0206009
"F1","2911",.1233451
"F1","2913",.8560541
"F2","2692",.0054163
"F2","2813",.0353154
"F2","2914",.2219148
"F2","2919",.1435494
"F2","2930",.2590832
"F2","3150",.119892
"F2","4020",.0383934
"F2","4030",.1536563
"F2","4100",.0227792
"F4","2429",.0393238
"F4","2927",.9606762
"G0","0200",.0168337
"G0","2219",.0000775
"G0","3000",.408339
"G0","3130",.004863
"G0","3210",.0428631
"G0","3311",.0314008
"G0","3312",.0715299
"G0","3313",.0511682
"G0","3320",.146735
"G0","3330",.0550566
"G0","5010",.0000569
"G0","5050",.0001292
"G0","5110",.0124123
"G0","5139",.0000117
"G0","5141",.0000117
"G0","5150",.0000542
"G0","5190",.0000717
"G0","5231",5.83e-06
"G0","5233",5.83e-06
"G0","5260",.0039655
"G0","6304",.0004316
"G0","6309",.0000864
"G0","6411",.0006883
"G0","6412",.000047
"G0","6511",5.83e-06
"G0","6592",.0002837
"G0","6599",.0008035
"G0","6601",.0008967
"G0","6602",.0001575
"G0","6603",.0005236
"G0","6711",.0003295
"G0","6712",.000035
"G0","6719",.0046579
"G0","6720",.0007161
"G0","7010",.0000117
"G0","7020",.0000635
"G0","7220",.1074769
"G0","7240",.00206
"G0","7290",.0007915
"G0","7411",.0000335
"G0","7412",.0125116
"G0","7413",.0055248
"G0","7414",.00004
"G0","7421",.0003418
"G0","7422",.0023996
"G0","7430",.0008262
"G0","7491",.0002668
"G0","7492",.0004235
"G0","7493",.0000529
"G0","7494",.0015125
"G0","7495",.0000191
"G0","7499",.0024926
"G0","7511",.0001386
"G0","7514",.0001222
"G0","7521",.0000281
"G0","7530",.0003535
"G0","8030",9.33e-06
"G0","8531",5.25e-06
"G0","9249",.0070188
"G0","9500",.0002217
"G1","2213",.0000554
"G1","2230",.0000248
"G1","2926",.075029
"G1","3000",.3011814
"G1","3210",.1090648
"G1","3312",.023483
"G1","3320",.1110576
"G1","3330",.3333085
"G1","5520",.0345425
"G1","9211",.0121029
"G1","9212",.00015
"G2","1554",.0053287
"G2","1721",.0487077
"G2","2411",.0729828
"G2","2412",.0289548
"G2","2695",.1251926
"G2","2710",.1590376
"G2","2720",.0456061
"G2","2731",.0448065
"G2","2915",.0239355
"G2","4030",.3907775
"G2","4100",.0483452
"G2","6110",.0020161
"G2","7512",.0006052
"G2","7513",.0037036
"H0","2211",.0000567
"H0","2891",.0310446
"H0","2899",.0081287
"H0","3000",.0630581
"H0","3110",.0081068
"H0","3120",.0176665
"H0","3140",.1019609
"H0","3210",.3775518
"H0","3220",.0032611
"H0","3230",.0738761
"H0","3312",.0429128
"H0","3320",.0862105
"H0","3330",.0903465
"H0","4510",.0732644
"H0","6420",.0141197
"H0","7230",.0019844
"H0","7523",.0013904
"H0","9213",.005033
"H0","9220",.0000269
"Y0","1310",.0001759
"Y0","2330",.0279898
"Y0","2411",.0284316
"Y0","2412",.0249536
"Y0","2610",.0267448
"Y0","2710",.0787723
"Y0","2720",.0305055
"Y0","2911",.0631601
"Y0","2913",.0257577
"Y0","2914",.0519366
"Y0","2919",.0306916
"Y0","2930",.0689042
"Y0","3140",.2884852
"Y0","3313",.0597877
"Y0","4010",.0275116
"Y0","4030",.1628703
"Y0","4530",.0029195
"Y0","5020",.000386
"Y0","7310",.000016
"Y1","1551",.0018941
"Y1","1730",.1243871
"Y1","2520",.0509975
"Y1","2610",.053046
"Y1","2693",.028996
"Y1","2695",.0372204
"Y1","2710",.0542164
"Y1","2720",.0612434
"Y1","2891",.0369747
"Y1","2892",.0368266
"Y1","2893",.0596341
"Y1","2911",.0430931
"Y1","2913",.1394642
"Y1","2922",.0399149
"Y1","2926",.0407007
"Y1","3000",.0278387
"Y1","3692",.010509
"Y1","4100",.1511518
"Y1","9111",.0001773
"Y1","9214",.0016166
"Y1","9231",.0000334
"Y1","9233",.0000417
"Y1","9900",.0000221
