cpc3,isic_rev3_3,probability_weight
"A01","014",.1725084
"A01","015",.0889772
"A01","050",.0178194
"A01","151",.2636181
"A01","152",.0369282
"A01","153",.1578966
"A01","241",.0217316
"A01","242",.0249293
"A01","292",.2155911
"A21","153",.718839
"A21","154",.281161
"A22","151",1
"A23","011",.0636194
"A23","151",.2044117
"A23","152",.3318145
"A23","153",.1649984
"A23","154",.213838
"A23","410",.0211719
"A23","512",.0000585
"A23","522",.0000877
"A24","160",.9318902
"A24","210",.0681098
"A41","173",.543372
"A41","181",.4525685
"A41","182",.0040595
"A42","173",.2158999
"A42","181",.4162628
"A42","191",.0214362
"A42","924",.3463086
"A42","990",.0000925
"A43","192",1
"A44","173",.4155889
"A44","191",.2192653
"A44","242",.028653
"A44","243",.0346642
"A44","252",.1332853
"A44","269",.0444167
"A44","272",.0339021
"A44","289",.0902245
"A45","173",.0536963
"A45","191",.7177684
"A45","252",.053425
"A45","293",.0546965
"A45","802",.0154535
"A45","809",.0154535
"A45","930",.0895069
"A46","151",.2855428
"A46","242",.4178585
"A46","243",.0836665
"A46","252",.0820027
"A46","269",.0301891
"A46","289",.0375996
"A46","291",.0342812
"A46","930",.0288596
"A47","293",.1390256
"A47","361",.8597551
"A47","514",.0000373
"A47","521",.0011428
"A47","801",.0000392
"A61","241",.0865184
"A61","242",.5551662
"A61","331",.2821116
"A61","851",.0762038
"A62","191",.7489329
"A62","241",.0803074
"A62","291",.0674688
"A62","353",.0660361
"A62","410",.0242223
"A62","853",.0130324
"A63","369",.6264829
"A63","924",.3735171
"B01","232",.0355004
"B01","241",.4028294
"B01","269",.02522
"B01","291",.0234338
"B01","410",.4736633
"B01","900",.039353
"B02","011",.0225289
"B02","151",.0553939
"B02","153",.3827481
"B02","201",.0250482
"B02","289",.1199579
"B02","291",.0777529
"B02","292",.1556311
"B02","293",.133987
"B02","371",.026952
"B03","101",.3236012
"B03","131",.0063866
"B03","142",.0232845
"B03","241",.0585873
"B03","269",.0261563
"B03","291",.0291723
"B03","410",.4414236
"B03","900",.0913882
"B04","154",.061602
"B04","291",.8766819
"B04","293",.02652
"B04","410",.0351961
"B05","241",.0719456
"B05","242",.4287293
"B05","289",.0386481
"B05","291",.1423849
"B05","410",.3182921
"B06","020",.1396972
"B06","241",.0502724
"B06","269",.586808
"B06","271",.0276361
"B06","272",.0703827
"B06","291",.1252036
"B07","103",.0877681
"B07","151",.1274968
"B07","153",.0283963
"B07","201",.1157955
"B07","261",.0249987
"B07","291",.4890372
"B07","292",.0767158
"B07","372",.0497916
"B08","291",.0235921
"B08","369",.0271587
"B08","410",.9123887
"B08","900",.0368605
"B09","102",.0106173
"B09","141",.0320592
"B09","241",.0923212
"B09","269",.0723081
"B09","291",.0233006
"B09","410",.1663013
"B09","451",.2856387
"B09","455",.0896056
"B09","900",.2278481
"B21","271",.4528104
"B21","273",.0369766
"B21","289",.3526136
"B21","291",.115097
"B21","292",.0425024
"B22","269",.0423268
"B22","271",.3021181
"B22","272",.1562012
"B22","273",.3268837
"B22","289",.1468592
"B22","291",.0256111
"B23","271",.1297807
"B23","272",.0567156
"B23","289",.3136361
"B23","291",.0694832
"B23","292",.4303844
"B24","241",.1145649
"B24","261",.0488743
"B24","269",.035659
"B24","289",.1111485
"B24","291",.0500218
"B24","292",.5272155
"B24","293",.1125162
"B25","289",.3107939
"B25","291",.4152975
"B25","292",.2684012
"B25","502",.0039115
"B25","504",.0015959
"B26","210",.0616576
"B26","289",.913831
"B26","930",.0245114
"B27","201",.4945457
"B27","202",.4620461
"B27","289",.0434082
"B28","269",1
"B29","173",.0525094
"B29","241",.1660506
"B29","242",.0360806
"B29","251",.0993815
"B29","252",.5379631
"B29","291",.0353808
"B29","292",.0241871
"B29","331",.0213473
"B29","332",.0270997
"B30","151",.0229671
"B30","154",.0429032
"B30","210",.036373
"B30","269",.0277144
"B30","271",.0706772
"B30","289",.065235
"B30","291",.5616859
"B30","292",.1724443
"B31","210",.6370836
"B31","242",.0874731
"B31","252",.2364465
"B31","292",.0389968
"B32","173",.1757986
"B32","210",.0718545
"B32","241",.3113767
"B32","242",.1925512
"B32","252",.0547396
"B32","261",.1936795
"B33","261",.0389179
"B33","269",.1812061
"B33","292",.6304815
"B33","331",.0588078
"B33","332",.0476994
"B33","722",.0428873
"B41","172",.0584392
"B41","210",.5444165
"B41","222",.3634654
"B41","292",.0331351
"B41","725",.0005437
"B42","210",.6462905
"B42","222",.2236727
"B42","242",.1008283
"B42","252",.0292084
"B43","210",.1676751
"B43","369",.8323249
"B44","173",.0369633
"B44","202",.0338751
"B44","210",.1829388
"B44","242",.5409672
"B44","252",.0435042
"B44","261",.0527691
"B44","269",.0247381
"B44","289",.0286795
"B44","369",.0555647
"B60","191",.029968
"B60","251",.0655671
"B60","291",.0744586
"B60","341",.4199777
"B60","342",.2468525
"B60","343",.1631761
"B61","352",.99604
"B61","602",.00396
"B62","341",.0453942
"B62","342",.0705064
"B62","359",.8840995
"B63","351",.9599571
"B63","410",.0400429
"B64","353",.9997419
"B64","621",.000129
"B64","622",.000129
"B65","210",.4724374
"B65","242",.0348934
"B65","252",.1862907
"B65","291",.2694169
"B65","292",.0369615
"B66","289",.0379986
"B66","291",.9620014
"B67","154",.0335528
"B67","155",.7734348
"B67","232",.0312395
"B67","252",.0216664
"B67","291",.0271649
"B67","293",.0252466
"B67","410",.0876951
"B68","172",.0722235
"B68","173",.1578514
"B68","181",.0360402
"B68","191",.5027327
"B68","361",.2311522
"B81","241",.0650984
"B81","261",.1057485
"B81","289",.0779052
"B81","321",.0781094
"B81","323",.1697659
"B81","451",.5033727
"B82","241",.3034295
"B82","242",.0246154
"B82","289",.0821083
"B82","321",.0481225
"B82","331",.1325864
"B82","332",.409138
"C01","233",.1042625
"C01","241",.3666561
"C01","289",.0490131
"C01","402",.0363238
"C01","403",.1604322
"C01","410",.2833122
"C02","410",.9334589
"C02","900",.0665411
"C03","261",1
"C04","241",.0495068
"C04","269",.9230317
"C04","272",.0274615
"C05","013",.00125
"C05","103",.0233239
"C05","241",.8685549
"C05","410",.1068711
"C06","241",.1646565
"C06","242",.8353435
"C07","241",.3167607
"C07","242",.6397254
"C07","410",.0435139
"C08","241",.9652162
"C08","410",.0347838
"C09","210",.0221807
"C09","241",.804405
"C09","242",.149716
"C09","289",.0236982
"C10","111",.0109922
"C10","231",.6288575
"C10","232",.2553038
"C10","241",.0744602
"C10","403",.0303863
"C11","241",.2598048
"C11","242",.7401952
"C12","012",.0100159
"C12","151",.0367911
"C12","153",.2895572
"C12","154",.2990943
"C12","155",.123289
"C12","241",.0683232
"C12","242",.1467094
"C12","410",.0262198
"C13","011",.0662123
"C13","153",.0717883
"C13","154",.8619994
"C14","151",.0368357
"C14","173",.0241373
"C14","181",.312097
"C14","191",.0929068
"C14","192",.0430103
"C14","241",.4639063
"C14","291",.0271066
"C21","271",.9156111
"C21","273",.0618879
"C21","291",.0225009
"C22","120",.0033062
"C22","132",.0252802
"C22","271",.71712
"C22","272",.1949532
"C22","273",.0593404
"C23","241",.1251921
"C23","271",.2397623
"C23","272",.4010389
"C23","289",.2340066
"C25","241",.0663618
"C25","271",.0810935
"C25","272",.6490151
"C25","289",.2035297
"C30","241",.2026557
"C30","261",.052233
"C30","272",.0692136
"C30","289",.0561622
"C30","291",.1111438
"C30","369",.5085915
"C40","241",.7708812
"C40","242",.1759593
"C40","300",.0531594
"D01","171",.258686
"D01","173",.3629573
"D01","241",.0853007
"D01","243",.0556495
"D01","292",.2374065
"D02","171",.7174283
"D02","173",.0986609
"D02","243",.1839109
"D03","173",.8277782
"D03","191",.0581471
"D03","292",.1140747
"D04","173",.8822929
"D04","292",.1177071
"D05","172",.0492583
"D05","173",.9277243
"D05","289",.0230174
"D06","171",.2466775
"D06","172",.0431439
"D06","173",.4853185
"D06","241",.0235751
"D06","293",.201285
"D07","243",.8700855
"D07","251",.1299145
"D10","171",.0307138
"D10","173",.9692861
"D21","210",1
"E01","269",.3839323
"E01","271",.0370129
"E01","352",.5790548
"E02","269",.3137016
"E02","292",.0341573
"E02","410",.2284847
"E02","451",.4204075
"E02","611",.0032489
"E03","410",1
"E04","202",.0765733
"E04","269",.8322836
"E04","271",.0711782
"E04","452",.019965
