cpc3,isic_rev3_2,probability_weight
"A01","01",.2378187
"A01","05",.0264788
"A01","15",.5303721
"A01","24",.066643
"A01","29",.1386873
"A21","15",1
"A22","15",.9663074
"A22","29",.0336926
"A23","01",.0429817
"A23","15",.9328512
"A23","41",.0241672
"A24","16",.9318902
"A24","21",.0681098
"A41","17",.5300926
"A41","18",.4699074
"A42","17",.218647
"A42","18",.4806969
"A42","92",.3005491
"A42","99",.0001069
"A43","19",1
"A44","17",.4641423
"A44","19",.1627259
"A44","24",.033375
"A44","25",.146351
"A44","26",.0476545
"A44","27",.0418862
"A44","28",.1038652
"A45","17",.08361
"A45","19",.6383889
"A45","25",.0726964
"A45","29",.0284111
"A45","80",.0410396
"A45","93",.135854
"A46","15",.2059628
"A46","17",.0518442
"A46","24",.3696006
"A46","25",.1204611
"A46","26",.0394501
"A46","28",.0524119
"A46","29",.0798262
"A46","92",.0376536
"A46","93",.0427896
"A47","17",.0304851
"A47","29",.0465977
"A47","36",.9229172
"A61","15",.0391837
"A61","24",.5876154
"A61","33",.2745569
"A61","85",.098644
"A62","17",.0434715
"A62","19",.6373819
"A62","24",.1304638
"A62","29",.0960075
"A62","35",.0561661
"A62","41",.0365092
"A63","36",.5340079
"A63","92",.4659921
"B01","23",.0558628
"B01","24",.3316609
"B01","26",.0275982
"B01","28",.0223402
"B01","29",.0249337
"B01","41",.4963651
"B01","90",.0412391
"B02","15",.3931072
"B02","20",.0505598
"B02","28",.1745061
"B02","29",.3818269
"B03","10",.3149249
"B03","14",.0293273
"B03","24",.0498225
"B03","26",.0308971
"B03","29",.0290116
"B03","41",.4523635
"B03","90",.0936531
"B04","15",.0304465
"B04","29",.9290245
"B04","41",.040529
"B05","24",.4219332
"B05","28",.0433952
"B05","29",.1595612
"B05","41",.3751103
"B06","02",.1700157
"B06","24",.0822923
"B06","26",.5091857
"B06","27",.0902734
"B06","29",.1482327
"B07","10",.0365069
"B07","15",.1261076
"B07","20",.0780972
"B07","25",.0250667
"B07","26",.0391642
"B07","29",.6395615
"B07","37",.0554959
"B08","24",.0283986
"B08","29",.0301778
"B08","36",.0279261
"B08","41",.8780254
"B08","90",.0354722
"B09","24",.104282
"B09","26",.0802085
"B09","29",.029336
"B09","41",.1991521
"B09","45",.3141647
"B09","90",.2728567
"B21","27",.4775606
"B21","28",.3728463
"B21","29",.1495931
"B22","26",.0397836
"B22","27",.7303042
"B22","28",.1827406
"B22","29",.0471716
"B23","27",.257217
"B23","28",.4124585
"B23","29",.3303244
"B24","24",.1750416
"B24","26",.1236358
"B24","27",.0425526
"B24","28",.1624625
"B24","29",.4963076
"B25","28",.3205586
"B25","29",.650758
"B25","31",.0236509
"B25","50",.0050324
"B26","21",.0656068
"B26","28",.9083117
"B26","93",.0260814
"B27","20",.95077
"B27","28",.04923
"B28","26",1
"B29","17",.0591048
"B29","24",.2029088
"B29","25",.6405835
"B29","29",.0566393
"B29","33",.0407636
"B30","15",.061362
"B30","20",.0246137
"B30","21",.0366012
"B30","25",.0374427
"B30","26",.0235814
"B30","27",.0604554
"B30","28",.0634925
"B30","29",.692451
"B31","21",.7119791
"B31","24",.0438246
"B31","25",.2006677
"B31","29",.0435286
"B32","17",.1859671
"B32","21",.0709452
"B32","24",.4991326
"B32","25",.0705925
"B32","26",.146903
"B32","27",.0264596
"B33","26",.4450063
"B33","29",.2821887
"B33","33",.186615
"B33","72",.08619
"B41","21",.5881783
"B41","22",.3900408
"B41","24",.0217809
"B42","21",.690677
"B42","22",.2374266
"B42","24",.047444
"B42","25",.0244523
"B43","21",.2753576
"B43","36",.7246424
"B44","17",.0515545
"B44","20",.0420546
"B44","21",.2476936
"B44","24",.4025955
"B44","25",.0508454
"B44","26",.0949664
"B44","28",.0394094
"B44","36",.0708807
"B60","19",.0218944
"B60","25",.04475
"B60","29",.0829896
"B60","34",.850366
"B61","29",.0303114
"B61","35",.9696886
"B62","29",.0435902
"B62","34",.2627122
"B62","35",.6936976
"B63","35",.8107523
"B63","41",.1825638
"B63","61",.0066838
"B64","35",.9993898
"B64","62",.0006102
"B65","15",.0284333
"B65","21",.4859984
"B65","24",.0247425
"B65","25",.1606917
"B65","29",.3001342
"B66","28",.0435108
"B66","29",.9564891
"B67","15",.3893632
"B67","23",.0682374
"B67","25",.0652424
