isic_rev3_2,cpc1,probability_weight
"01","A",.8187714
"01","C",.0381175
"01","Y",.1431111
"02","G",1
"05","A",.7320904
"05","Y",.2679096
"10","B",.0785521
"10","C",.4080425
"10","F",.0236377
"10","Y",.4897677
"11","E",.9432771
"11","F",.0567229
"12","C",.4840524
"12","E",.4618617
"12","G",.0263938
"12","Y",.027692
"13","C",.3511651
"13","Y",.6488349
"14","B",.0419348
"14","C",.8345327
"14","E",.1235324
"15","A",.9281078
"15","C",.0718922
"16","A",1
"17","A",.0566344
"17","B",.0273092
"17","D",.882224
"17","Y",.0338325
"18","A",.5216144
"18","B",.0219927
"18","D",.4115914
"18","Y",.0448015
"19","A",.7542921
"19","B",.1845917
"19","F",.0366833
"19","Y",.0244328
"20","A",.0423296
"20","B",.239639
"20","D",.0219379
"20","E",.6540344
"20","Y",.0420591
"21","B",.3628289
"21","D",.637171
"22","B",.8262216
"22","G",.1737784
"23","B",.0424567
"23","C",.6629058
"23","F",.0761147
"23","Y",.2185229
"24","A",.1788653
"24","B",.0661077
"24","C",.755027
"25","A",.0636002
"25","B",.690479
"25","F",.0935835
"25","Y",.1523373
"26","B",.0699969
"26","C",.2245136
"26","E",.4043922
"26","F",.0378237
"26","G",.032056
"26","H",.0970587
"26","Y",.134159
"27","B",.0926435
"27","C",.3958792
"27","E",.0820268
"27","F",.0619765
"27","Y",.367474
"28","A",.0225145
"28","B",.3737093
"28","C",.0891238
"28","E",.0317591
"28","F",.0468477
"28","H",.2751326
"28","Y",.1609131
"29","A",.0325238
"29","B",.222106
"29","F",.62639
"29","Y",.1189802
"30","G",.8779016
"30","H",.1220984
"31","F",.0495293
"31","G",.0347011
"31","H",.5746619
"31","Y",.3411077
"32","G",.1179583
"32","H",.8820417
"33","A",.0890945
"33","G",.5843088
"33","H",.3265967
"34","B",.8226898
"34","E",.0216842
"34","F",.0922682
"34","Y",.0633579
"35","B",.8789504
"35","F",.0355213
"35","G",.0386024
"35","Y",.0469259
"36","A",.9265312
"36","B",.0261587
"36","Y",.0473101
"37","A",.0766593
"37","B",.4749954
"37","C",.3660991
"37","F",.0410356
"37","Y",.0412106
"40","C",.0629115
"40","F",.4001667
"40","Y",.5369217
"41","B",.1474283
"41","C",.499795
"41","E",.1934234
"41","F",.1009168
"41","Y",.0584364
"45","E",.133155
"45","H",.866845
"50","B",.5173144
"50","F",.1512034
"50","G",.2022803
"50","Y",.1292018
"51","G",1
"52","G",1
"55","A",.0924123
"55","E",.2715748
"55","G",.6360129
"60","B",.3003155
"60","C",.0327896
"60","E",.2994526
"60","F",.3674423
"61","A",.0217213
"61","B",.1998646
"61","E",.2012088
"61","G",.0343968
"61","H",.5428086
"62","B",1
"63","G",1
"64","G",.020073
"64","H",.979927
"65","G",1
"66","G",1
"67","G",1
"70","G",1
"72","G",.8233283
"72","H",.1766717
"73","G",.4198027
"73","Y",.5801973
"74","G",1
"75","G",.2380057
"75","H",.7619943
"80","A",.8785102
"80","G",.1214899
"85","A",1
"90","A",.0882903
"90","B",.3258351
"90","C",.4600021
"90","Y",.1258725
"91","Y",1
"92","A",.7992262
"92","G",.1333669
"92","H",.067407
"93","A",1
"95","A",.3787042
"95","G",.3975316
"95","H",.2237642
"99","A",.0831817
"99","C",.2064883
"99","G",.5628248
"99","H",.0972076
"99","Y",.0502976
