isic_rev3_1,cpc2,probability_weight
"A","A0",.625164
"A","A2",.2176773
"A","G0",.0882089
"A","Y0",.0689499
"B","A0",.8090347
"B","A2",.0706411
"B","Y0",.1203242
"C","C1",.0699362
"C","E2",.9300638
"D","A4",.0289165
"D","A6",.0966521
"D","B0",.0232184
"D","B2",.0501687
"D","B6",.0938875
"D","C0",.1247847
"D","C1",.0233527
"D","C2",.0275114
"D","F0",.0430293
"D","F1",.0448875
"D","F2",.0247692
"D","G0",.1419447
"D","H0",.1590391
"D","Y0",.0731198
"D","Y1",.0447183
"E","A2",.0236713
"E","B0",.2356984
"E","C0",.3186574
"E","E0",.0664824
"E","E2",.0476428
"E","F0",.0627532
"E","F2",.1103777
"E","Y0",.0486979
"E","Y1",.0860189
"F","E0",.1381114
"F","H0",.8618885
"Other","A6",.1679989
"Other","G0",.6754346
"Other","G1",.0206947
"Other","H0",.1358718
